drug_name,targets,n_targets,total_proximity_score,n_pathways_significant,mean_proximity_score,score_R-HSA-112316,score_GO:0007399,score_GO:0007268,score_hsa04728,score_GO:0007409,score_GO:0021987,score_GO:0030182,score_GO:0001764,score_GO:0050804,score_GO:0048699,score_hsa04330,repurposing_rank,repurposing_score,safety_tier,bbb_penetrant
APRACLONIDINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
BRIMONIDINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
CGP-71683A,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
CLONIDINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
DABUZALGRON,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
DEXNIGULDIPINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
DISPYRIN,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
DOXANTHRINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
DOXAZOSIN,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
GUANFACINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
IDAZOXAN,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
MIRTAZAPINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
MOXONIDINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
NIGULDIPINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
NOREPINEPHRINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
PHENTOLAMINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
PRAZOSIN,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
RAUWOLFIA SERPENTINA,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
RAUWOLSCINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
TAMSULOSIN,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
TERAZOSIN,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
YOHIMBINE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
YOHIMBINE HYDROCHLORIDE,ADRA2A,1,0.7317,1,0.0665,0.0,0.0,0.0506,0.4052,0.0584,0.0703,0.0,0.0459,0.0,0.1012,0.0,,,,
5-OH-DPAT,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
ABAPERIDONE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
CLEBOPRIDE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
DIFLUOROBENZTROPINE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
IOXIPRIDE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
LEVOSULPIRIDE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
NAFADOTRIDE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
RIMCAZOLE,DRD3,1,0.7008,1,0.0637,0.0131,0.0,0.1092,0.4052,0.0,0.0,0.0,0.0,0.0131,0.0,0.1601,,,,
LISURIDE,DRD1;DRD2;DRD3,3,0.627,0,0.057,0.0,0.0,0.1323,0.2984,0.1834,0.0,0.0,0.0,0.0,0.0129,0.0,,,,
SPIPERONE,DRD1;DRD2;DRD3,3,0.627,0,0.057,0.0,0.0,0.1323,0.2984,0.1834,0.0,0.0,0.0,0.0,0.0129,0.0,,,,
8-OH-DPAT,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
BROMOCRIPTINE,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
PERGOLIDE,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
PRECLAMOL,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
ROPINIROLE,DRD2;DRD3,2,0.5855,0,0.0532,0.0,0.0,0.1534,0.361,0.0139,0.0,0.0,0.0,0.0,0.0,0.0572,,,,
