gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
RHOXF2B,690,356,-0.0169779157520426,-0.0175690668688483,0.08900185731095116,-0.03895318136508276,0.2169568959869851,126786.0,0.39167948307511724,0.5691795105226065,False
STIL,795,391,-0.5127094048983715,-0.5218015487883705,0.08901420711667428,-0.03210374659574748,0.21013216082909603,163526.0,0.14393333742571776,0.2923224716804128,False
SSTR2,795,391,-0.0769186124359212,-0.0875577560106988,0.08901692207791082,-0.032101034865998954,0.2101348790218206,161517.0,0.27177018738507874,0.44800888888884255,False
BTNL3,795,391,0.074362976739925,0.0676635168159149,0.08903685110359369,-0.03208112956389304,0.2101548317710804,162639.0,0.19314305890063688,0.3568800532056972,False
ACVR2B,795,391,0.0667811197394744,0.0653544847107623,0.08904635112231639,-0.03207164085589102,0.2101643431005238,159598.0,0.451496981716631,0.6227253372696463,False
PXMP4,795,391,-0.0187796206638987,-0.0293898126611643,0.089049011624108,-0.03206898352190851,0.2101670067701245,163405.0,0.15001512736970313,0.3014857596272187,False
TMED3,795,391,-0.0374155639519944,-0.0523363652179964,0.08907244349973646,-0.03204557955025451,0.21019046654972745,165994.0,0.05660096705146371,0.150894985913772,False
SRSF9,795,391,-0.2099796915963688,-0.2233564715430166,0.0890845877515425,-0.03203344976338171,0.2102026252664667,165412.0,0.0716364752065187,0.17860676500299866,False
PDS5B,795,391,-0.102197417028812,-0.110476087848607,0.08913481249475723,-0.03198328486343083,0.21025290985294529,164885.0,0.08793697755016222,0.20696006397768935,False
ACVR1C,795,391,0.0927396757940139,0.0893864945992504,0.08915594093216984,-0.03196218161082458,0.21027406347516425,162182.0,0.22287395704073887,0.3932505166583098,False
RIPOR3,795,391,-0.0874712755028865,-0.0886448787717335,0.08921235123189748,-0.03190583858061438,0.21033054104440935,162136.0,0.2260388060375288,0.39667067009060863,False
PSTPIP2,795,391,0.0570675436460308,0.0541668540250228,0.0892174183337269,-0.03190077752340584,0.21033561419085964,160640.0,0.346788653328596,0.5263068102504871,False
GRAMD1A,795,391,-0.0264772851443011,-0.0375400869593031,0.08922075107688579,-0.03189744875611264,0.21033895090988422,163332.0,0.153777961180862,0.306475320472345,False
SNX7,795,391,-0.0393233239425995,-0.0633578699878493,0.08923443628583258,-0.03188377987477796,0.21035265244644313,166847.0,0.03937845841390878,0.1159281189492827,False
PTPRE,795,391,0.0439563735279923,0.0381091997558685,0.08923637811777668,-0.03188184035980636,0.2103545965953597,161728.0,0.25551864401228286,0.4303779079366317,False
NDST1,795,391,-0.0050547776448923,-0.0297017638502681,0.08929592990705301,-0.03182235965153088,0.2104142194656369,166112.0,0.05389745153478419,0.14563963041707406,False
