gene,n_structural,n_contact,median_structural,median_contact,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
RLBP1,68,142,0.043756532250462596,0.045489106339922356,-0.11696823672896625,-0.40622539659509227,0.1722889231371598,4849.0,0.9603205577954844,,0.9993737785142749,False
SHISA9,68,142,0.069911563729457,0.08521340271693384,-0.11694167901491204,-0.4061987406673149,0.1723153826374908,4454.0,0.36470045722215694,,0.939901393945159,False
FCGR3B,55,125,0.2124585073307308,0.2042670625502126,-0.11689960960987805,-0.43426721555910985,0.20046799633935375,3261.0,0.5846898707127984,,0.971619363240063,False
LGALS3,68,142,0.0323754637729116,0.02374487392968155,-0.11685436224622342,-0.40611110114734367,0.17240237665489683,4855.0,0.94872125326945,,0.9993737785142749,False
CPLX4,68,142,0.20757009984576563,0.2160316586705886,-0.11684084618459115,-0.40609753514744995,0.17241584277826763,4623.0,0.619682924314989,,0.9740124926272851,False
AWAT1,68,142,0.05359462316519355,0.05770704099313665,-0.11683681515811584,-0.40609348922851796,0.17241985891228628,4468.0,0.3829529487592733,,0.9416798305269515,False
AIFM3,68,142,-0.14209881320952344,-0.11079219684630835,-0.1168311408164161,-0.40608779392407246,0.17242551229124026,4431.0,0.3359173191255588,,0.9336754982909935,False
ALDH1B1,68,142,-0.044339606547426996,-0.01292593076456675,-0.11682135628772373,-0.40607797325074,0.17243526067529258,4361.0,0.25757308194823514,,0.9142008971523761,False
GOLGA7B,68,142,-0.037310262554927046,-0.02470555197999685,-0.11677457278892303,-0.40603101697264676,0.17248187139480067,4425.0,0.3286559245616788,,0.9336754982909935,False
MRTO4,68,142,-1.0115865607902819,-0.9285976321864151,-0.11672984848513054,-0.4059861275591219,0.17252643058886077,4493.0,0.4169087171306731,,0.9488887979235613,False
SNX3,68,142,0.06113606738789895,0.050426244272626805,-0.11666541620179131,-0.40592145752068254,0.17259062511709988,4585.0,0.5561821464905391,,0.9699158901008881,False
SRY,34,50,0.4214837343079243,0.4214459451525382,-0.11663040212979761,-0.5526628495735719,0.31940204531397676,870.0,0.8589573374066795,,0.9912380566425227,False
SPIN4,68,142,0.06721729027304915,0.07367763490660215,-0.11658980327588371,-0.40584556575027575,0.17266595919850836,4672.0,0.7058897555593896,,0.9853880270093744,False
ZFPM2,68,142,0.10248541002204126,0.1003319671760558,-0.116564059664735,-0.40581972724331866,0.1726916079138487,4763.0,0.875611610557377,,0.9937712379836905,False
ABCD2,68,142,-0.01984930498190415,-0.0195253757112641,-0.11653635790681809,-0.40579192339486747,0.17271920758123127,4699.0,0.7551500773030448,,0.9874807212226971,False
MMEL1,68,142,-0.0795713616451854,-0.07734149645722195,-0.11653116037370553,-0.4057867067097518,0.17272438596234074,4678.0,0.7167388884802037,,0.9864009185288087,False
CFAP144,68,142,-0.2050230838313206,-0.19562937210008974,-0.11644158550275062,-0.40569680190503554,0.17281363089953428,4512.0,0.44386376363318003,,0.9560398080959539,False
OR8K1,56,127,-0.033987758954807754,-0.0241437198458684,-0.1164394122769672,-0.43106218566538906,0.19818336111145468,3255.0,0.3628347518672034,,0.9393751440393305,False
