gene,n_Y220C,n_other_mut,median_Y220C,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
ZNF664,11,784,0.0322751806820204,0.06205075620920745,-0.07856762970719218,-0.673662800928774,0.5165275415143895,3871.0,0.5602934329282567,,0.9652241444547122,False
CEP290,11,784,-0.1510070890444215,-0.1229725724074388,-0.07855929561442784,-0.6736544641777856,0.5165358729489299,3891.0,0.5782363014057585,,0.969102901451449,False
PLA2G7,11,784,-0.0259496445199443,-0.01656058772154225,-0.07853020191221913,-0.6736253611981236,0.5165649573736852,4003.0,0.6833600714654656,,0.9813121910159245,False
HMBS,11,784,-0.1661846389757084,-0.1578581281869021,-0.07851092986708927,-0.6736060830093804,0.5165842232752018,4023.0,0.702877241529986,,0.984223497868514,False
CEBPA,11,784,-0.1129286827420974,-0.13941996582590743,-0.07849137529582514,-0.6735865222059794,0.516603771614329,4661.0,0.6449649195871878,,0.9766598987785462,False
CYB5R1,11,784,0.0202971889100928,0.013799190312205,-0.0784505341014854,-0.6735456680003596,0.5166445997973889,3994.0,0.6746449750301546,,0.9797444620232986,False
ZNF703,11,784,-0.0012867930616524,0.0130161337384047,-0.07841756337856925,-0.673512686778496,0.5166775600213573,3837.0,0.5304241268836596,,0.9617869310453052,False
HSD17B14,11,784,0.0626307524758446,0.0329439026753721,-0.07836063595325699,-0.6734557412360331,0.5167344693295193,4401.0,0.9068521276597215,,0.996551266198163,False
UPF3B,11,784,-0.0663458714085182,-0.0487128219559011,-0.0782226806752795,-0.6733177421083676,0.5168723807578086,3967.0,0.64876423233972,,0.9766598987785462,False
ZNF133,11,784,-0.0473618047798985,-0.03332614709877025,-0.07804417128831811,-0.6731391760960876,0.5170508335194515,4176.0,0.85781921078789,,0.9932443231899748,False
DDX4,11,784,0.016550114364767,-0.035265549935147855,-0.07801027914435656,-0.6731052732157439,0.5170847149270308,4387.0,0.9215353156347299,,0.9977803470329059,False
SLC35G5,11,784,0.0401865514448279,0.03798394698214795,-0.07785761351097055,-0.6729525592786211,0.51723733225668,4153.0,0.8340108787662808,,0.9915822410919202,False
DENND2B,11,784,-0.0293291222100798,-0.026664799433489553,-0.07785206672714833,-0.6729470107415656,0.517242877287269,4137.0,0.8175365021628047,,0.9904154198173775,False
CST9,11,784,0.1652577297130435,0.1203651430531138,-0.07783299448728288,-0.6729279324742804,0.5172619434997147,4939.0,0.40748644523017385,,0.9484430408460183,False
LGALS9,11,784,-0.2120448318779429,-0.23581503042489985,-0.0777849899404283,-0.6728799127630348,0.5173099328821783,4143.0,0.8237053687371458,,0.9904154198173775,False
CSN3,11,784,0.048776192132393,0.047763697002065245,-0.07776756045896614,-0.6728624777780037,0.5173273568600714,4259.0,0.9446611098831856,,0.9977803470329059,False
PUM3,11,784,-0.1029351136940578,-0.040049518837106696,-0.07769853658477585,-0.6727934321208051,0.5173963589512534,3710.0,0.4264556649603256,,0.9491199840652291,False
SYNDIG1,11,784,0.2359052138295622,0.2068188759201974,-0.07769361110134661,-0.6727885050836988,0.5174012828810055,4451.0,0.8547059446494605,,0.9930534089411427,False
PRTG,11,784,0.0815458224111178,0.10289054276537504,-0.07766304992546817,-0.6727579342699122,0.5174318344189759,4291.0,0.9783767750552963,,0.9998228920813169,False
PRKCSH,11,784,-0.2274147107953955,-0.1822439664143724,-0.07765210323145413,-0.6727469841246224,0.5174427776617142,4131.0,0.8113789156597577,,0.9904154198173775,False
PDHX,11,784,0.0189811696822449,-0.009865701136014749,-0.077616153812069,-0.6727110233745198,0.5174787157503818,4353.0,0.9572961236186823,,0.9977803470329059,False
AHSA1,11,784,-0.0761439659978462,-0.0911312036121697,-0.07743546424133056,-0.6725302769325979,0.5176593484499369,4409.0,0.8984756794013729,,0.9954644891934857,False
TSHR,11,784,0.0987813105882902,0.12854811225572266,-0.0774129563529619,-0.672507761969262,0.5176818492633383,3996.0,0.6765779461823964,,0.9800710097521202,False
CHEK2,11,784,0.1870355935664144,0.1477489706239628,-0.07740763123844624,-0.6725024351811892,0.5176871727042966,4526.0,0.7777300728792641,DDR,0.988669641431971,False
AZI2,11,784,-0.0076447191331385,0.0197553408633224,-0.07738843100561556,-0.6724832289151365,0.5177063669039054,3921.0,0.6056460349141062,,0.9720479354702818,False
