gene,n_R175H,n_other_mut,median_R175H,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
TMEM92,29,766,-0.1076731847301826,-0.12533857635872642,0.19259745789629665,-0.17830505702469981,0.5634999728172931,12600.0,0.2188774898900635,,0.9646502566257839,False
GPATCH2L,29,766,0.0305010550758716,0.056597350074893,0.19263843191186344,-0.17826413441876823,0.5635409982424952,11606.0,0.6813194583038711,,0.9904879656187472,False
E2F5,29,766,0.1296807350280607,0.09263425486972221,0.19266160186853054,-0.1782409935380218,0.5635641972750829,12394.0,0.2892282894647592,,0.9703041375622421,False
MDN1,29,766,-1.2962406264353232,-1.4449443712548944,0.1927527345965398,-0.1781499752061495,0.5636554443992291,12716.0,0.1851449511343548,,0.9641225477761958,False
RPSA,15,232,-2.4518935461975806,-2.5006357056882855,0.19289788281221001,-0.3295431352141549,0.7153389008385749,1828.0,0.7442166335950557,,0.9929458170570392,False
RDX,29,766,-0.0338930497763099,-0.02943975862544935,0.19292916733026963,-0.1779737640967057,0.5638320987572449,12114.0,0.4070180436078962,,0.9758310656415545,False
PPIA,24,677,-0.8244698266811817,-0.8880887145059817,0.19293646556659252,-0.21429444713133924,0.6001673782645243,9174.0,0.2817142039020246,,0.9703041375622421,False
GABRG2,29,766,0.1044890197177005,0.0995546369894877,0.1929625825912463,-0.17794039083281168,0.5638655560153043,12118.0,0.405156216412609,,0.9758157201656592,False
TLE4,29,766,0.0946792813203008,0.056325509261872145,0.19296555849739352,-0.1779374186672055,0.5638685356619926,12831.0,0.15566132498274635,,0.9641225477761958,False
ZNHIT6,29,766,-0.5128787615331083,-0.5504786707878156,0.19299100045960013,-0.17791200868641957,0.5638940096056199,12786.0,0.16674311327331592,,0.9641225477761958,False
SHFL,29,766,-0.0830674148489286,-0.12352214954509641,0.19301878579171927,-0.17788425828623133,0.5639218298696699,12587.0,0.22291667091859368,,0.965401187056068,False
ABCA2,29,766,0.0140076842400243,-0.00765578882863865,0.1930845212116882,-0.17781860552934173,0.5639876479527182,12619.0,0.21306904815061833,,0.9641225477761958,False
TNFRSF18,29,766,-0.0021783352053955,-0.0051658563842744,0.19310951112546954,-0.1777936470480561,0.5640126692989952,11947.0,0.48920214490495384,,0.9804894932204153,False
F7,29,766,-0.0248356012625201,-0.027524416720432952,0.1931323320320396,-0.17777085484933997,0.5640355189134192,12107.0,0.41028849447730753,,0.9764909735164059,False
ATP11C,29,766,0.0834778116502974,0.0716641756898874,0.19318876314184905,-0.17771449474232978,0.5640920210260278,12093.0,0.4168760566910761,,0.9772080624653837,False
EXOC3,29,766,-0.5394258413226966,-0.5999444007578981,0.19323142312640107,-0.1776718884472187,0.5641347347000208,12235.0,0.35297606177427954,,0.9703041375622421,False
OR8B8,24,677,0.059511279333632705,0.056345107215818,0.1932974072348225,-0.21393397445417026,0.6005287889238152,8616.0,0.6141675049620468,,0.986212119076938,False
UNK,29,766,-0.1165367863192824,-0.12562635331238053,0.19341713930034943,-0.17748640614317684,0.5643206847438758,11666.0,0.6454507936717679,,0.9883889475229359,False
TULP4,29,766,0.0145874226837746,-0.02602227081386455,0.19344785695141103,-0.17745572719608332,0.5643514410989054,12509.0,0.2482735954278541,,0.9690040735316359,False
IFNAR1,29,766,0.0906707300344953,0.11702975994426759,0.19349782058647402,-0.17740582652787829,0.5644014677008263,10473.0,0.6017566698468124,,0.9849474073047186,False
ZNF44,29,766,0.0958116422550757,0.06202137157795975,0.1935046940053519,-0.17739896177252382,0.5644083497832276,12413.0,0.28216515310688894,,0.9703041375622421,False
SPDL1,29,766,-1.0430362075147543,-1.1322069264266683,0.1935548151718124,-0.17734890379002055,0.5644585341336453,12600.0,0.2188774898900635,,0.9646502566257839,False
