drug_id,drug_name,n_group1,n_group2,median_group1,median_group2,cohens_d,mannwhitney_U,pvalue,fdr
BRD:BRD-K08748705-001-08-2,,31,64,0.0099,-0.0134,-0.0539,1027.0,0.7842044901398835,0.9964436473790778
BRD:BRD-K77597856-003-02-5,,40,69,0.0551,0.0734,-0.004,1424.0,0.7844826065054397,0.9964436473790778
BRD:BRD-K62200014-003-10-5,,38,68,0.1154,0.1155,-0.009,1250.0,0.7845447531204295,0.9964436473790778
BRD:BRD-A43885598-001-08-1,,38,66,0.1913,0.1411,0.0376,1295.0,0.7845512105120065,0.9964436473790778
BRD:BRD-K65417056-003-10-1,,40,71,0.3488,0.2718,-0.0105,1465.0,0.7846019018947432,0.9964436473790778
BRD:BRD-K44276885-001-07-4,,40,71,0.0113,-0.0028,-0.044,1465.0,0.7846019018947432,0.9964436473790778
BRD:BRD-K87737963-001-06-0,,40,71,0.0527,0.199,-0.0197,1375.0,0.7846019018947432,0.9964436473790778
BRD:BRD-K00003508-001-01-9,ASTX660,49,115,-0.4575,-0.526,-0.0137,2894.0,0.7848277799975416,0.9964436473790778
BRD:BRD-K97181972-001-01-9,CPI-169,49,115,-0.126,-0.3389,-0.0684,2894.0,0.7848277799975416,0.9964436473790778
BRD:BRD-K00003294-050-01-9,avitinib,49,115,-5.4529,-5.28,-0.0457,2741.0,0.7848277799975416,0.9964436473790778
BRD:BRD-K00003430-001-01-9,PRN1371,49,115,-0.594,-0.7342,0.0602,2894.0,0.7848277799975416,0.9964436473790778
BRD:BRD-K96550715-001-02-6,,40,70,-0.0454,-0.0191,0.0853,1444.0,0.786932659177372,0.9966686182264924
BRD:BRD-K99922388-001-02-0,,40,70,-0.21,-0.1486,0.087,1444.0,0.786932659177372,0.9966686182264924
BRD:BRD-K78789465-001-02-4,,40,70,-0.0892,-0.1164,-0.0436,1444.0,0.786932659177372,0.9966686182264924
BRD:BRD-K45216060-001-10-0,,40,70,0.2383,0.2815,0.0378,1444.0,0.786932659177372,0.9966686182264924
BRD:BRD-K77943374-001-02-8,,40,70,-0.0212,-0.0422,0.039,1444.0,0.786932659177372,0.9966686182264924
BRD:BRD-K64400208-001-08-3,,40,70,0.0064,-0.0678,-0.0238,1444.0,0.786932659177372,0.9966686182264924
BRD:BRD-K46331928-001-05-8,,40,70,-0.1363,-0.179,0.066,1444.0,0.786932659177372,0.9966686182264924
BRD:BRD-K82255054-001-15-9,,40,70,-0.2242,-0.2622,-0.0383,1444.0,0.786932659177372,0.9966686182264924
