gene,n_R248W,n_other_mut,median_R248W,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
CXCL17,69,726,-0.0371354558616575,-0.03249636944071755,0.07517562782412958,-0.17176208825854294,0.32211334390680213,24678.0,0.8397976481911839,,0.9855497901217778,False
EMC10,69,726,-0.0392161138021141,-0.053773514860791904,0.07518383032076419,-0.1717538917952573,0.32212155243678564,26124.0,0.554823256403429,,0.975706113151191,False
ZNF579,69,726,-0.0819968503300497,-0.08890667633163235,0.07518787775790245,-0.17174984733545512,0.32212560285126,26097.0,0.564793378179323,,0.9759765291291704,False
IL17F,69,726,-0.0211989290319673,-0.03985317868616405,0.07522621154035092,-0.1717115417596747,0.32216396484037657,26026.0,0.5914146892802202,,0.9795383129394515,False
PRUNE2,69,726,0.0226437175679536,0.015906756641188298,0.07524368930839205,-0.17169407685685195,0.3221814554736361,25768.0,0.6926561525750379,,0.982517665309694,False
PMPCB,69,726,-1.5809049685806158,-1.6420660647446301,0.07527223548958163,-0.17166555169465986,0.3222100226738231,26392.0,0.46077703410761084,,0.965086619004918,False
DUS1L,69,726,-0.0911795905593378,-0.06385201808521576,0.07530039467703889,-0.17163741324906015,0.32223820260313796,24839.0,0.9093720166516588,,0.9929409871171,False
CD5,69,726,-0.154434307098273,-0.14084073276194148,0.07534625445013547,-0.17159158727254875,0.3222840961728197,25339.0,0.8729507617186849,,0.9870559196802824,False
YTHDF2,69,726,-0.2543483835551863,-0.2980580055855936,0.07535002154373767,-0.17158782295603903,0.3222878660435144,26421.0,0.4511634344369556,,0.965086619004918,False
ST8SIA4,69,726,0.0555374373725585,0.0542042763664895,0.07536309501406077,-0.1715747591245241,0.3223009491526456,26337.0,0.47932044206033186,,0.9664171269925627,False
PSMG2,69,726,-0.7001784074821052,-0.716359226524404,0.0753884943777971,-0.17154937849200982,0.322326367247604,26052.0,0.5815992535822002,,0.9778393076401718,False
