gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
SALL2,53,18,-0.0275793018387155,0.00065198210210765,-0.21457548311768052,-0.7504302243834523,0.32127925814809133,371.0,0.1631820485337565,0.6589146645334681,False
PAQR9,53,18,-0.0341855315088149,-0.008551912931018498,-0.21447567094819528,-0.7503293312187506,0.32137798932235995,411.0,0.3866283814187361,0.8126871921880241,False
OR8B2,45,14,-0.0281375755620226,-0.0296980533330318,-0.21433025653860027,-0.8153719765299599,0.3867114634527593,296.0,0.7416854473392893,0.9480815359514984,False
NDUFV2,53,18,-0.076307386151055,-0.06455449469697935,-0.21431612116098808,-0.7501680545003545,0.32153581217837834,429.0,0.5301136697444232,0.875174665281609,False
BAMBI,53,18,-0.0487975407717096,-0.0300146448535322,-0.21431044984226735,-0.7501623218200996,0.3215414221355649,423.0,0.4794809320709069,0.8515753708182947,False
PEX7,53,18,-0.0550306769024048,-0.027564639426392548,-0.2142840010393252,-0.7501355868724151,0.3215675847937647,418.0,0.439389057941987,0.8358730666966977,False
PDX1,53,18,-0.005786682669869,0.01576108869848035,-0.21414170164180985,-0.749991748567371,0.3217083452837514,435.0,0.5833298571205356,0.892225313320403,False
PCM1,53,18,-0.1829138151688167,-0.1621057434096203,-0.21414004282755797,-0.7499900718197497,0.32170998616463387,409.0,0.3722948344348579,0.8071682374564624,False
TRIM25,53,18,-0.0632776658299852,-0.0473202692770949,-0.2140717003062529,-0.7499209905706278,0.321777589958122,424.0,0.48773229407874763,0.8563117475845112,False
SLC25A34,53,18,-0.1110867340864206,-0.15906138097487277,-0.21405781591194795,-0.7499069561258557,0.3217913243019598,457.0,0.7966062106838088,0.9597801713359688,False
PRKG1,53,18,0.033649408401391,0.035705507899256,-0.21402618553982944,-0.7498749839563481,0.32182261287668923,440.0,0.6294936142998602,0.9087576428497373,False
PANX3,53,18,0.0771932533157988,0.089850947529773,-0.2140184439759494,-0.7498671587448903,0.32183027079299154,433.0,0.5653167267617749,0.8870226375186742,False
ITIH2,53,18,0.0385985337224948,0.073029207061426,-0.21383549927859885,-0.7496822382073534,0.3220112396501557,406.0,0.35142148668612394,0.793643217837238,False
ERBB2,53,18,-0.2218061572940523,-0.20939919726874956,-0.21376212364601638,-0.7496080705756283,0.32208382328359547,411.0,0.3866283814187361,0.8126871921880241,False
NFATC3,53,18,-0.0944804686158282,-0.020122911691034102,-0.21369432595339402,-0.7495395413313861,0.32215088942459813,392.0,0.2640452166471777,0.7418373508929632,False
ITPRIPL1,53,18,-0.0513402581708387,-0.020581840324161202,-0.21363877619716432,-0.7494833923536106,0.322205839959282,377.0,0.18846155187162816,0.6818888574330045,False
ZKSCAN4,53,18,-0.0550778830697309,-0.04219651086309865,-0.21359021111367266,-0.7494343035201212,0.3222538812927758,422.0,0.4713063319240254,0.8491821035182981,False
CDC123,53,18,-2.3985535756376697,-2.406127330724514,-0.21355610991200807,-0.7493998346250035,0.3222876148009873,433.0,0.5653167267617749,0.8870226375186742,False
RWDD3,53,18,-0.0197163981575266,-0.041430969531692646,-0.2133751809953638,-0.74921695583479,0.3224665938440624,436.0,0.5924356367756916,0.8943098252846665,False
USP31,53,18,0.0468785652951855,0.04694916542944905,-0.21331805684560384,-0.7491592163990319,0.3225231027078242,438.0,0.6108400074786289,0.9000174961085463,False
SIN3A,53,18,-0.8302376875535055,-0.6987403408995099,-0.21329774664274986,-0.7491386874738795,0.3225431941883798,410.0,0.379419978110361,0.8090078099555251,False
IFNA2,45,14,0.1468715285572804,0.1586165514972241,-0.21306942058138664,-0.8140965464629726,0.38795770530019924,282.0,0.5625446241828542,0.8870226375186742,False
UPK1A,53,18,-0.1009260225617219,-0.06376354675935705,-0.21305454840237154,-0.7488928718217769,0.32278377501703387,403.0,0.3313052301038869,0.782281445354817,False
ATP13A5,53,18,0.0783878566683054,0.0997468617306884,-0.21301698010662223,-0.7488548994638102,0.3228209392505658,411.0,0.3866283814187361,0.8126871921880241,False
MYOG,53,18,0.0082513968535501,0.039466072938775854,-0.21296040702159644,-0.7487977180462383,0.32287690400304536,407.0,0.3582953682321195,0.7980215019715389,False
ADAMTS12,53,18,0.1654447403579316,0.1921456767078507,-0.2129581610239667,-0.7487954479006307,0.3228791258526973,417.0,0.4316081041696491,0.8313854612156756,False
