gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
GPX4,34,22,-0.92924281452837,-0.9672810785543208,0.08882733641401967,-0.4477045589425987,0.625359231770638,391.0,0.7819237678474894,0.9925402232094982,False
ZNF451,34,22,0.04077628689772255,0.02275172695938815,0.08884918816376436,-0.44768283129201264,0.6253812076195413,401.0,0.6566245253446286,0.9821207898002782,False
MYO1F,34,22,-0.0517231085564907,-0.0810749786123834,0.08897390801032444,-0.4475588203307471,0.625506636351396,427.0,0.3784432140695009,0.936864223890635,False
ILF2,34,22,-1.0746535323842543,-1.0688927077985704,0.08900247718251737,-0.44753041368046426,0.625535368045499,409.0,0.5627304546816487,0.9688594131664394,False
SCP2D1,34,22,0.1225939787382892,0.1116957798931822,0.08905537741395839,-0.4474778145210455,0.6255885693489623,411.0,0.540310376332414,0.9669654514228317,False
DDX6,34,22,-0.7647349775594745,-0.8278818368425955,0.08908120234247825,-0.4474521366353202,0.6256145413202767,426.0,0.38759239010777813,0.9386535960138087,False
RXFP2,34,22,0.1256744172769906,0.1321778144232575,0.0892515340096982,-0.44728277587486776,0.6257858438942642,383.0,0.8866056315986153,0.9967168732931722,False
DCAF8L2,34,22,-0.0222716185562757,-0.0429438796152157,0.08950202645429853,-0.44703371462726826,0.6260377675358653,385.0,0.8601732176586243,0.9960224609396491,False
THAP2,34,22,0.1165099161364753,0.11464871540663565,0.08953661184782029,-0.44699932715339635,0.6260725508490369,386.0,0.8470136254688276,0.9947726217374736,False
COX20,34,22,-0.5543056405943144,-0.5512599489913365,0.08954098081330336,-0.44699498319535097,0.6260769448219576,372.0,0.9799235056326929,1.0,False
ZNF768,34,22,-0.07010035336250034,-0.0483567140281409,0.08954267894697625,-0.4469932947819218,0.6260786526758743,353.0,0.7309071501723846,0.9882664751133565,False
TMEM218,34,22,0.12098992569550715,0.0681894046460379,0.0895453154846941,-0.4469906733363074,0.6260813043056956,392.0,0.7690716385895678,0.9909074419118177,False
CDC14B,34,22,-0.05117391700355545,-0.08873708589880745,0.08958939574430447,-0.44694684546724994,0.6261256369558589,386.0,0.8470136254688276,0.9947726217374736,False
EEFSEC,34,22,-0.7385588359872269,-0.7236340381432071,0.08963107764668683,-0.4469054023372853,0.626167557630659,382.0,0.8998712040149444,0.9968835528040947,False
PHEX,34,22,0.0589812129731227,0.036236406280842196,0.08964376026209597,-0.44689279239553736,0.6261803129197293,396.0,0.7183270070777366,0.9876232878481642,False
C17orf107,34,22,-0.01410830775221655,-0.04345165164572955,0.08972122897539626,-0.44681576781487364,0.6262582257656661,404.0,0.6206651130950829,0.9766251208972256,False
KLHL34,34,22,-0.10629597927541085,-0.12189055814650135,0.08972242614936503,-0.44681457750738013,0.6262594298061102,394.0,0.7435600859139389,0.9895774970558346,False
INVS,34,22,0.07515569118268425,0.0660807583029561,0.08973961468360875,-0.44679748756927135,0.6262767169364889,408.0,0.5741064196186814,0.9698576204537455,False
ZNF679,34,22,-0.0906467809379772,-0.1044311416527588,0.08977832620760866,-0.4467589981697602,0.6263156505849775,389.0,0.8078041210191695,0.9939426874910255,False
SMARCD3,34,22,0.02401245575482435,-0.00227795007178605,0.08978732657871448,-0.4467500494559766,0.6263247026134056,421.0,0.4353266550975118,0.9476386261436106,False
SCT,34,22,0.01642905058746285,-0.00249061791234435,0.08986036548337879,-0.446677429946948,0.6263981609137056,423.0,0.4158385006051305,0.9422317720080836,False
SLC2A8,34,22,0.08608840261483519,0.10630849471677975,0.08986100565725928,-0.4466767934505068,0.6263988047650254,380.0,0.9264827526061189,0.9971131513184466,False
COA4,34,22,-0.1219708775788935,-0.16405916860106534,0.08996628953139776,-0.4465721147291929,0.6265046937919884,406.0,0.5971794023202559,0.9741406849844453,False
ETV4,34,22,-0.01082905455906495,-0.063356184453839,0.09008155799037332,-0.4464575096244473,0.6266206256051939,412.0,0.5292703345596823,0.9669654514228317,False
COL21A1,34,22,0.0976941904652611,0.0311221689920308,0.09009973007608561,-0.44643944219403686,0.6266389023462081,419.0,0.4553315987739408,0.9519256167597655,False
ADGRV1,34,22,0.04022597617515465,0.01173868296872585,0.09011880739961887,-0.4464204747618744,0.6266580895611121,415.0,0.4968528609736331,0.961122549009028,False
IL18R1,34,22,0.0940892649023326,0.0398157442726121,0.09014694535085457,-0.44639249893649136,0.6266863896382004,426.0,0.38759239010777813,0.9386535960138087,False
ADAP1,34,22,-0.04320933733811245,-0.06354576853017746,0.0902200008285681,-0.4463198646274653,0.6267598662846015,421.0,0.4353266550975118,0.9476386261436106,False
LNX2,34,22,0.10208226615998545,0.0878517380636519,0.09022275133314507,-0.4463171299863504,0.6267626326526405,405.0,0.6088718571321212,0.9744878809130727,False
TSHZ1,34,22,0.13717305456210177,0.09913647611797136,0.09024188217296154,-0.44629810949651166,0.6267818738424348,394.0,0.7435600859139389,0.9895774970558346,False
SLC35E3,34,22,-0.0376917127740406,-0.0582642320139543,0.09035782367880324,-0.4461828372613044,0.626898484618911,425.0,0.39687514418138337,0.9386535960138087,False
SPOCK2,34,22,-0.08110192122123819,-0.0831497218868272,0.09036754432079237,-0.44617317277058316,0.6269082614121679,399.0,0.681054034877716,0.9847905144597947,False
SLC22A3,34,22,0.0474196508555295,0.03526140605912645,0.09045751010615198,-0.44608372695876797,0.626998747171072,392.0,0.7690716385895678,0.9909074419118177,False
LCE1B,34,22,-0.35588265951216635,-0.3643717120978867,0.0906098792124995,-0.44593223967631146,0.6271519981013105,385.0,0.8601732176586243,0.9960224609396491,False
KANSL3,34,22,-1.0031892994288307,-1.0415897675234742,0.09061231729280332,-0.44592981571825235,0.627154450303859,391.0,0.7819237678474894,0.9925402232094982,False
CAMSAP2,34,22,-0.0522101437922482,-0.07133736304423649,0.090646493573902,-0.4458958374385176,0.6271888245863215,385.0,0.8601732176586243,0.9960224609396491,False
C16orf89,34,22,-0.05579982142871505,-0.050700117362671104,0.09065520281264383,-0.4458871786689518,0.6271975842942394,385.0,0.8601732176586243,0.9960224609396491,False
PRDM11,34,22,-0.00276288249671745,-0.0465305495918001,0.09068165906262877,-0.44586087576002315,0.6272241938852807,418.0,0.4655249836745645,0.9553816643151585,False
SMG9,34,22,-0.227605055353796,-0.23066183538617974,0.09071613319924111,-0.4458266015034019,0.6272588679018841,397.0,0.7058227576145661,0.9862112639191113,False
POMK,34,22,0.1139395893573085,0.0812794349100697,0.09073509253953835,-0.4458077521211291,0.6272779372002059,396.0,0.7183270070777366,0.9876232878481642,False
POU4F1,34,22,0.024247861437480603,0.04027576073304235,0.0908809303382271,-0.44566276090179846,0.6274246215782526,364.0,0.8733717563276544,0.9961310310868862,False
GABARAP,34,22,-0.1801925981505282,-0.2083414958531697,0.09093925042583956,-0.44560477973885976,0.6274832805905388,403.0,0.6325566919155012,0.9785428665073075,False
