gene,cohens_d,p_value,n_lost,n_intact,median_resid_lost,median_resid_intact,fdr,composite_score
RIMS2,-0.2942,0.07119041711418182,67,585,-0.0136,-0.0019,0.9988716805228369,0.0001
VGLL1,-0.2941,0.043673434886519986,67,585,-0.0182,0.0038,0.9976759412731231,0.0003
H2AC12,-0.2941,0.0025135202005824677,67,585,-0.0587,0.02,0.9027528056843022,0.0131
STX8,-0.2939,0.009588402879848456,67,585,-0.0146,0.0098,0.9055524643035545,0.0127
SLC38A6,-0.2934,0.027418180782745515,67,585,-0.0144,0.009,0.9976759412731231,0.0003
DLG2,-0.292,0.052900917727163196,67,585,-0.017,0.0008,0.9988716805228369,0.0001
ELAC2,-0.2917,0.02247743294959662,67,585,-0.0512,0.0176,0.984041069643297,0.002
SLC25A27,-0.2915,0.10144845028881659,67,585,-0.0122,-0.0069,0.9988716805228369,0.0001
POMK,-0.2913,0.10360955630791027,67,585,-0.0214,0.0037,0.9988716805228369,0.0001
CHSY3,-0.2909,0.012159629886671212,67,585,-0.0171,0.0077,0.9204724187690524,0.0105
MACF1,-0.2908,0.10346435337363237,67,585,-0.0367,0.0063,0.9988716805228369,0.0001
SNW1,-0.2906,0.062249130077290604,67,585,-0.0321,0.0055,0.9988716805228369,0.0001
TNRC18,-0.29,0.03769531625067111,67,585,-0.0211,0.0138,0.9976759412731231,0.0003
RAB43,-0.2898,0.02094878899511399,67,585,-0.0286,-0.0031,0.9676910822763416,0.0041
CHST10,-0.2896,0.006922053043002437,67,585,-0.035,0.0205,0.9055524643035545,0.0125
SYNGR2,-0.2895,0.045712410511635077,67,585,-0.0323,0.0003,0.9976759412731231,0.0003
TBC1D2B,-0.2895,0.04446511124646467,67,585,-0.0189,0.011,0.9976759412731231,0.0003
SUPT5H,-0.2893,0.03231738162891013,67,585,-0.0583,0.0423,0.9976759412731231,0.0003
GPN1,-0.2892,0.02929510995749187,67,585,-0.0596,0.0236,0.9976759412731231,0.0003
TMEM74B,-0.2885,0.030536650749427765,67,585,-0.0271,0.0,0.9976759412731231,0.0003
CD44,-0.2884,0.008434761105454809,67,585,-0.0172,0.0244,0.9055524643035545,0.0124
PAX1,-0.2883,0.018636219764787285,67,585,-0.0204,0.0106,0.9386686983213505,0.0079
TMTC2,-0.2883,0.02874074272076637,67,585,-0.028,0.0008,0.9976759412731231,0.0003
GINS3,-0.2882,0.052233211629070596,67,585,-0.0548,0.014,0.9988716805228369,0.0001
GNAI2,-0.2882,0.05520729891191966,67,585,-0.0273,0.014,0.9988716805228369,0.0001
MYL11,-0.288,0.017019762294052575,67,585,-0.0318,0.0066,0.9386686983213505,0.0079
FAM98A,-0.2878,0.019475855191935558,67,585,-0.0232,0.0088,0.95634250848791,0.0056
TM4SF1,-0.2876,0.008350089322439693,67,585,-0.0546,0.0094,0.9055524643035545,0.0124
PDE9A,-0.2875,0.0400238919687056,67,585,-0.009,0.0037,0.9976759412731231,0.0003
TEKT4,-0.2872,0.051244877425850856,67,585,-0.0198,0.0175,0.9988716805228369,0.0001
SLC22A15,-0.2865,0.024974125336260058,67,585,-0.0239,0.0036,0.9976759412731231,0.0003
OR5M11,-0.2864,0.027472907698086017,61,570,-0.0241,0.0094,0.9976759412731231,0.0003
NTN5,-0.2863,0.039365137346544406,67,585,-0.0255,0.0006,0.9976759412731231,0.0003
CFAP418,-0.2862,0.03813884549115374,67,585,-0.0174,0.0069,0.9976759412731231,0.0003
OR2L2,-0.2862,0.08291721556347897,61,570,-0.0232,0.0081,0.9988716805228369,0.0001
ASPM,-0.2859,0.04282339789768173,67,585,-0.0158,0.0379,0.9976759412731231,0.0003
SLC37A1,-0.2857,0.041097343503504524,67,585,-0.0083,0.0045,0.9976759412731231,0.0003
H2AC15,-0.2852,0.08115826275241597,67,585,0.0164,0.0427,0.9988716805228369,0.0001
CIITA,-0.2848,0.03845836217043262,67,585,-0.0094,0.0035,0.9976759412731231,0.0003
PCDHA7,-0.2846,0.041097343503504524,67,585,-0.0218,0.0047,0.9976759412731231,0.0003
COTL1,-0.2846,0.0298070392888537,67,585,-0.0304,-0.0014,0.9976759412731231,0.0003
PABIR1,-0.284,0.012761399641995491,67,585,-0.0627,0.0005,0.9204724187690524,0.0102
TFAP2B,-0.284,0.0460848258186299,67,585,-0.0185,0.0045,0.9976759412731231,0.0003
RPL36A,-0.284,0.21367409850066454,23,134,-0.0016,0.0797,0.9988716805228369,0.0001
ITGAV,-0.2835,0.08819905155463902,67,585,-0.0698,0.048,0.9988716805228369,0.0001
