gene,d_unstratified,fdr_unstratified,cs_unstratified,d_tp53mut,fdr_tp53mut,n_lost_tp53mut,n_intact_tp53mut,d_tp53wt,fdr_tp53wt,n_lost_tp53wt,n_intact_tp53wt,confounding_class
GGT1,-0.3511,0.8244752046616158,0.0294,-0.1869,0.9999689672426924,18,104,-1.0759,0.8565507742402518,5,30,not significant
POU5F1B,-0.351,0.9020296443327318,0.0157,-0.2828,0.9999689672426924,18,104,-0.7016,0.9015952170117766,5,30,not significant
PPP1R1A,-0.3505,0.6655229512790012,0.062,-0.1138,0.9999689672426924,52,376,-0.9931,0.8565507742402518,15,209,not significant
GPR61,-0.3502,0.560815812476221,0.088,-0.3227,0.9999689672426924,52,376,-0.3677,0.870743014543521,15,209,not significant
LSM1,-0.3497,0.6967120484934631,0.0549,-0.408,0.9999689672426924,52,376,-0.2625,0.9663048470719819,15,209,not significant
PECR,-0.3497,0.6967120484934631,0.0549,-0.2402,0.9999689672426924,52,376,-0.7883,0.8565507742402518,15,209,not significant
OR4K13,-0.3495,0.6992342695638899,0.0543,-0.3089,0.9999689672426924,48,364,-0.516,0.9015952170117766,13,206,not significant
OR5M11,-0.3494,0.599745798233516,0.0776,-0.3559,0.9999689672426924,48,364,-0.2271,0.9503931024834732,13,206,not significant
DCTN3,-0.3492,0.6967120484934631,0.0548,-0.2219,0.9999689672426924,52,376,-0.7508,0.8565507742402518,15,209,not significant
ASPM,-0.3476,0.6451632751223236,0.0662,-0.2605,0.9999689672426924,52,376,-0.515,0.8565507742402518,15,209,not significant
CFAP418,-0.3475,0.6780490098953341,0.0586,-0.4082,0.9999689672426924,52,376,-0.1646,0.9573783798598581,15,209,not significant
POMK,-0.347,0.7294432941056088,0.0475,-0.318,0.9999689672426924,52,376,-0.3805,0.9212535710461873,15,209,not significant
POLR2I,-0.3467,0.5559311675252981,0.0884,-0.3648,0.9999689672426924,52,376,-0.0741,0.9773453243544568,15,209,not significant
TAOK2,-0.346,0.5910446511533526,0.079,-0.3817,0.9999689672426924,52,376,-0.1325,0.9791921952606227,15,209,not significant
FBXL17,-0.3448,0.5951818714630925,0.0777,-0.3204,0.9999689672426924,52,376,-0.469,0.8801446036990509,15,209,not significant
LEP,-0.3446,0.5559311675252981,0.0879,-0.3556,0.9999689672426924,52,376,-0.2468,0.9160968603726479,15,209,not significant
OR7E24,-0.3433,0.6780490098953341,0.0579,-0.2932,0.9999689672426924,48,364,-0.4074,0.9157113964247774,13,206,not significant
ZDHHC14,-0.3429,0.6451632751223236,0.0653,-0.3409,0.9999689672426924,52,376,-0.3429,0.927055149008759,15,209,not significant
ZNF502,-0.3424,0.6451632751223236,0.0652,-0.3311,0.9999689672426924,52,376,-0.3571,0.9015952170117766,15,209,not significant
VRK2,-0.3418,0.7119858820355325,0.0504,-0.4005,0.9999689672426924,52,376,-0.098,0.9944362529877536,15,209,not significant
PDE1B,-0.3414,0.662362604915881,0.0611,-0.1735,0.9999689672426924,52,376,-0.88,0.8565507742402518,15,209,not significant
NFS1,-0.3413,0.5559311675252981,0.087,-0.4126,0.9085634321589086,52,376,-0.0784,0.9788319120419409,15,209,not significant
TSPEAR,-0.3406,0.5616487887061005,0.0853,-0.377,0.9999689672426924,52,376,-0.2349,0.9603008580169177,15,209,not significant
SNTB1,-0.3399,0.7119858820355325,0.0501,-0.4588,0.9999689672426924,52,376,0.0276,0.995780583463989,15,209,not significant
FAM50A,-0.3397,0.6451632751223236,0.0647,-0.3322,0.9999689672426924,52,376,-0.3161,0.905368768447597,15,209,not significant
PPP1R2,-0.3391,0.5864969711684321,0.0786,-0.3072,0.9999689672426924,52,376,-0.3445,0.9015952170117766,15,209,not significant
FBXL8,-0.3391,0.5598093086198781,0.0854,-0.4004,0.9085634321589086,52,376,-0.2875,0.9388408184633097,15,209,not significant
STRA8,-0.3386,0.5598093086198781,0.0853,-0.2331,0.9999689672426924,52,376,-0.7447,0.8565507742402518,15,209,not significant
SMCHD1,-0.3384,0.6967120484934631,0.0531,-0.3927,0.9999689672426924,52,376,-0.0262,0.9876957163692404,15,209,not significant
FBXO47,-0.3384,0.5559311675252981,0.0863,-0.2872,0.9999689672426924,52,376,-0.4062,0.8997905592720049,15,209,not significant
LARP7,-0.3382,0.5910446511533526,0.0772,-0.3158,0.9999689672426924,52,376,-0.3123,0.9212535710461873,15,209,not significant
C14orf39,-0.338,0.6967120484934631,0.053,-0.4188,0.9999689672426924,52,376,0.1198,0.9894254811684868,15,209,not significant
CBY2,-0.3379,0.5910446511533526,0.0772,-0.3484,0.9999689672426924,52,376,-0.2692,0.9106963475350999,15,209,not significant
GRID2IP,-0.3378,0.5559311675252981,0.0861,-0.2722,0.9999689672426924,52,376,-0.4417,0.9157113964247774,15,209,not significant
STAR,-0.3371,0.6780490098953341,0.0569,-0.3253,0.9999689672426924,52,376,-0.3377,0.9679531740719629,15,209,not significant
MT1E,-0.3368,0.887094148871769,0.0175,-0.2684,0.9999689672426924,52,366,-0.569,0.9492797224876868,15,201,not significant
CDH5,-0.3365,0.6451632751223236,0.064,-0.4667,0.9085634321589086,52,376,0.03,0.9960326303077046,15,209,not significant
ANGPTL1,-0.3361,0.5910446511533526,0.0768,-0.2341,0.9999689672426924,52,376,-0.5779,0.8565507742402518,15,209,not significant
PRKRA,-0.336,0.6780490098953341,0.0567,-0.2749,0.9999689672426924,52,376,-0.515,0.8565507742402518,15,209,not significant
GRIN2C,-0.3359,0.7265651525977933,0.0466,-0.1886,0.9999689672426924,52,376,-0.6897,0.8565507742402518,15,209,not significant
CASR,-0.3356,0.5047088523415719,0.0997,-0.2507,0.9999689672426924,52,376,-0.4651,0.8565507742402518,15,209,not significant
LDHD,-0.3353,0.5598093086198781,0.0845,-0.2953,0.9999689672426924,52,376,-0.4298,0.9015952170117766,15,209,not significant
MAP2K7,-0.3352,0.7292061268402719,0.046,-0.3227,0.9999689672426924,52,376,-0.4252,0.9015952170117766,15,209,not significant
TENT5C,-0.3347,0.818258030768385,0.0292,-0.3083,0.9999689672426924,52,376,-0.4393,0.9015952170117766,15,209,not significant
RCAN2,-0.3334,0.6780490098953341,0.0563,-0.2885,0.9999689672426924,52,376,-0.4107,0.9015952170117766,15,209,not significant
HSPA12B,-0.3329,0.6655229512790012,0.0589,-0.3065,0.9999689672426924,52,376,-0.4185,0.8801446036990509,15,209,not significant
KCNG2,-0.3325,0.5669907547515418,0.0819,-0.2514,0.9999689672426924,52,376,-0.5233,0.8565507742402518,15,209,not significant
