cancer_type,gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,composite_score,gene_set
Pan-cancer (RAS-excluded),ENTREP2,-0.3545,0.0018793181937119278,67,585,-0.0216,0.0278,0.5221159999823018,0.1001,
Pan-cancer (RAS-excluded),LRRC3B,-0.3544,0.011426137872424393,67,585,-0.008,0.0179,0.6780490098953341,0.0598,
Pan-cancer (RAS-excluded),ZBTB1,-0.354,0.0016964259810016559,67,585,-0.0895,-0.0156,0.5221159999823018,0.0999,
Pan-cancer (RAS-excluded),SPNS2,-0.3539,0.01367423772346525,67,585,-0.0819,-0.0577,0.6780490098953341,0.0597,
Pan-cancer (RAS-excluded),UBL4B,-0.3534,0.003685040328657115,67,585,-0.2279,-0.1796,0.5559311675252981,0.0901,
Pan-cancer (RAS-excluded),LMBR1L,-0.3532,0.016396190987945612,67,585,-0.2129,-0.1549,0.6866422565440923,0.0577,
Pan-cancer (RAS-excluded),SYNGR2,-0.3531,0.01035853234785932,67,585,-0.1652,-0.1256,0.6780490098953341,0.0596,
Pan-cancer (RAS-excluded),TEX55,-0.3529,0.006439180429317438,67,585,0.1,0.132,0.5910446511533526,0.0806,
Pan-cancer (RAS-excluded),SMKR1,-0.3529,0.006011882349937964,67,585,0.0121,0.0421,0.5890659148455608,0.0811,
Pan-cancer (RAS-excluded),OR51E1,-0.3526,0.13215408280759552,61,570,-0.0162,-0.0016,0.8861314541567127,0.0185,
Pan-cancer (RAS-excluded),CD1D,-0.3523,0.019835348392713704,67,585,-0.1887,-0.1431,0.6967120484934631,0.0553,
Pan-cancer (RAS-excluded),MELK,-0.3523,0.015733522745127532,67,585,-0.0699,-0.0499,0.6780490098953341,0.0594,
Pan-cancer (RAS-excluded),KRTAP4-11,-0.3522,0.280852588986229,67,567,-0.4052,-0.4065,0.9354612676893624,0.0102,
Pan-cancer (RAS-excluded),IFTAP,-0.3517,0.012159633621886188,67,585,-0.003,0.019,0.6780490098953341,0.0593,
Pan-cancer (RAS-excluded),GGT1,-0.3511,0.0784426244577947,23,134,-0.2009,-0.1435,0.8244752046616158,0.0294,
Pan-cancer (RAS-excluded),POU5F1B,-0.351,0.192543363164137,23,134,-0.0242,0.0163,0.9020296443327318,0.0157,
Pan-cancer (RAS-excluded),PPP1R1A,-0.3505,0.009684200119593287,67,585,-0.2634,-0.2278,0.6655229512790012,0.062,
Pan-cancer (RAS-excluded),GPR61,-0.3502,0.0048375053636260145,67,585,-0.4649,-0.4207,0.560815812476221,0.088,
Pan-cancer (RAS-excluded),LSM1,-0.3497,0.020646673587595355,67,585,-0.0441,0.0041,0.6967120484934631,0.0549,
Pan-cancer (RAS-excluded),PECR,-0.3497,0.02117790665510602,67,585,-0.0266,0.0083,0.6967120484934631,0.0549,
Pan-cancer (RAS-excluded),OR4K13,-0.3495,0.021612852074306212,61,570,-0.1382,-0.1172,0.6992342695638899,0.0543,
Pan-cancer (RAS-excluded),OR5M11,-0.3494,0.0071243017692119185,61,570,-0.1233,-0.0804,0.599745798233516,0.0776,
Pan-cancer (RAS-excluded),DCTN3,-0.3492,0.019835348392713704,67,585,-0.7757,-0.7193,0.6967120484934631,0.0548,
Pan-cancer (RAS-excluded),ASPM,-0.3476,0.008905397702642447,67,585,-0.3991,-0.322,0.6451632751223236,0.0662,
Pan-cancer (RAS-excluded),CFAP418,-0.3475,0.010502444206034751,67,585,-0.0059,0.0281,0.6780490098953341,0.0586,
