dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
FAAP24,30,788,12,356,-0.36602385777560176,-0.3631280657807004,-0.4024409308320897,-0.39492661083302144,0.1447,-0.0154,0.0031852084955212357,0.6240492197115339,0.0295,0.0046,0.6784327197228726,0.029692153708153778,additive,False,True,0.818803,additive
DDX21,30,788,12,356,-1.0553903002815994,-0.9854635521977377,-1.0690541982557356,-1.1351595661265867,0.4502,-0.0828,1.000005837109763e-12,0.9994510170047404,-0.4279,-0.136,0.6858311924769984,3.693021896399765e-11,additive,False,True,0.818803,additive
CDK13,30,788,12,356,-0.11440184722119869,-0.1248047101031533,0.055945559756259144,-0.07578069714025729,-0.2063,0.1701,0.003912470749449634,0.20989537696102278,-0.4595,-0.1213,0.6961250215055178,0.00987044954408465,additive,False,True,0.818803,additive
MFF,30,788,12,356,-0.08814046139905359,-0.07318370488914568,-0.058964634848045094,-0.1035563594143788,0.1976,0.0196,0.0007687560300897952,0.8194886981819135,-0.4277,-0.0595,0.7041703339525518,0.005865565551291147,additive,False,True,0.818803,additive
RBM12,30,788,12,356,-0.2799769147208917,-0.2673309948942085,-0.13519241271079754,-0.21413435279676607,-0.2217,0.0477,0.010521543395883256,0.874801130626594,-0.3794,-0.0916,0.7519334527264541,0.06489741919939644,additive,False,True,0.85447,additive
CCNB2,30,788,12,356,-0.0011341607106025214,-0.012189233363616537,0.04071345629522225,-0.006425852740903556,-0.0476,0.1466,0.6527163226351371,0.29026973006770584,-0.2219,-0.0361,0.7845239288204067,0.4770380961131002,additive,False,True,0.871693,additive
LAMA1,30,788,12,356,0.06255305416273994,0.06250624259298022,0.06852616473591534,0.07965044426855708,-0.1648,-0.0351,0.04506727754348943,0.8892801872997832,0.1032,0.0112,0.9058365205531225,0.24426837794424097,additive,False,True,0.968342,additive
ZNF143,30,788,12,356,-0.3336479673797214,-0.34441240408296664,-0.20959974300670856,-0.3119755246317167,-0.1676,0.1707,0.014094633174582325,0.4254573217369345,-0.4449,-0.0916,0.938479956478139,0.037136777391319965,additive,False,True,0.968342,additive
UPK3A,30,788,12,356,0.007057463844209392,0.021971614438321192,0.010703146866632325,0.007417021075741825,0.1121,-0.0752,0.07596626495249748,0.9610377018810544,-0.1434,-0.0182,0.9421829992469675,0.36713718201739426,additive,False,True,0.968342,additive
RALGAPB,30,788,12,356,-0.0398017290110507,-0.03222669243507262,-0.06168036394457216,-0.029033742395280657,-0.0112,-0.0687,0.8530855343704592,0.7978093177434604,0.1039,0.0251,0.9489751003150376,0.9515174292444646,additive,False,True,0.968342,additive
ZFY,12,269,6,68,0.5611216671754576,0.5542429946446175,0.5550199488918436,0.5545253692038452,-0.0002,0.0313,0.840071370930331,0.871719388109161,0.0411,0.0064,0.9815731026894361,0.9838000120384134,additive,False,True,0.981573,additive
