,B_cell,CD4_T_naive,CD8_T,Dendritic_cell,Endothelial,Epithelial,Fibroblast,Goblet,ILC3,Inflammatory_Mac,Macrophage,Monocyte,Myofibroblast,NK,Paneth,Plasma,Th1,Th17,Treg,pDC
KIR2DL3,0.0001797514,0.00085028383,0.017971966,0.0,0.0010853005,0.0,0.0,0.0,0.0,0.0,0.0,0.00070286676,0.0,0.025700461,0.00069227326,8.8153254e-05,0.0023270906,0.0,0.0006867927,0.0
KIR2DL1,0.0,0.00019916901,0.01493784,0.0,0.0,0.00024908976,0.0,0.0013585425,0.0,0.0,0.0,0.0005886984,0.0,0.017199054,0.0,0.0001551475,0.0,0.0,0.0,0.0
KIR2DL4,0.00041058043,0.0003351192,0.0058841445,0.0,0.00095918233,0.0008084423,0.00045700342,0.002403711,0.0,0.0,0.00073568436,0.00018273937,0.0028269282,0.019032676,0.0006654496,0.0013050885,0.0021028924,0.0,0.00039104794,0.0007872522
KIR3DL1,0.00017353646,0.0,0.004030289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024002093,0.0,0.0087074675,0.0011692989,0.0,0.0007096838,0.0,0.0,0.0
KIR3DL2,0.00034502876,0.0021518355,0.024840321,0.0022710375,0.0,0.0012555324,0.0011769608,0.0023848102,0.0029776038,0.0,0.0,0.00094013585,0.0016169021,0.01823842,0.0,0.0006180298,0.0013399178,0.00266966,0.0041177873,0.0018006237
FCAR,0.0008533188,0.0013787214,0.0008101135,0.0,0.0012673772,0.0004588443,0.0011675738,0.002269636,0.0,0.010336029,0.016512726,0.021794103,0.0033993875,0.0014703071,0.0074170153,0.0003685152,0.0007820868,0.0,0.0008939747,0.0017731546
CTB-61M7.2,0.00016074664,0.00094245473,0.0,0.0,0.0022191566,0.0,0.0004249095,0.0,0.0,0.07293686,0.03078218,0.06759632,0.0,0.00025384166,0.026074614,0.00039933724,0.0,0.0018652352,0.0009152775,0.0022208276
NCR1,0.0004862061,0.0017685568,0.026385939,0.0071545965,0.0017515413,0.0007917052,0.0,0.0009912893,0.029852398,0.0014220827,0.0011399401,0.002435282,0.0026932645,0.054413922,0.005746167,0.00079378847,0.0013401697,0.0011503501,0.0019877166,0.0007872522
NLRP7,0.00029693096,7.53745e-05,0.0007637093,0.0,0.00041470578,0.0,0.0013002005,0.0,0.0022567506,0.0,0.0,0.00079499546,0.0,0.0003744562,0.0018912524,0.019244153,0.0,0.0,0.00045422613,0.03784032
NLRP2,0.0056453003,0.005494375,0.006123623,0.0,0.0018367004,0.008102916,0.0030021844,0.0067763804,0.0032485735,0.006063325,0.0036874819,0.002189565,0.0,0.009746745,0.0074868836,0.0055247927,0.0069144247,0.003073078,0.0099759735,0.013736289
CTC-550B14.7,0.0014309795,0.0024084551,0.0037607325,0.0016229268,0.0019852594,0.0011850335,0.0,0.0011425111,0.0,0.00095534965,0.0018108785,0.0014219824,0.0039607445,0.002153623,0.0011420432,0.00083936023,0.0022759226,0.0020609824,0.00040624893,0.0025251727
GP6,0.0041327165,0.003011692,0.010364335,0.001062097,0.03065229,0.00081082294,0.0011312946,0.0011035646,0.0,0.0,0.003432125,0.005469047,0.001727836,0.0033171806,0.0024098388,0.0010472215,0.004399696,0.005048608,0.0019683042,0.0039793532
RDH13,0.017080003,0.02488797,0.026438547,0.018732423,0.057601653,0.088260196,0.029208144,0.07535148,0.019798633,0.020306848,0.012788629,0.02067379,0.020232229,0.026518798,0.017636308,0.0133699905,0.022005644,0.017208707,0.017528476,0.015846822
EPS8L1,0.00078090734,0.0022654536,0.0056563546,0.0036659122,0.0634865,0.04402114,0.012370439,0.0715806,0.0,0.005884597,0.0063617425,0.0051560593,0.04328411,0.0069702268,0.00794044,0.0033242486,0.006429249,0.0059926696,0.0051058293,0.009319167
PPP1R12C,0.013583433,0.01347466,0.019992081,0.010199581,0.06768279,0.042393643,0.056648515,0.030894134,0.015801767,0.02591883,0.032400444,0.050684277,0.072460525,0.019901317,0.020271465,0.010814237,0.0153137725,0.015157572,0.022951782,0.026918856
TNNT1,0.00042754773,0.0004396322,0.0,0.0008192259,0.0,0.0008517342,0.001285672,0.0010776591,0.0,0.014823607,0.0071283756,0.080270395,0.0,0.00030956417,0.005531669,5.3203807e-05,0.0,0.0,0.00028851107,0.0011225848
TNNI3,0.0,0.0,0.0,0.0,0.00064168306,0.0027969081,0.0,0.0018183499,0.0,0.0,0.00069129624,0.00060069223,0.0,0.0,0.0010833512,0.0,0.0,0.0,0.0,0.0
DNAAF3,0.00018614899,7.209392e-05,0.0,0.0,0.011857619,0.0005208348,0.0009719497,0.003350337,0.0,0.0,0.00029291434,0.00032940708,0.0006946941,9.361404e-05,0.0,0.0,0.0007223332,0.0016209618,0.0,0.0021708738
SYT5,0.0031459248,0.0012297947,0.0037904582,0.0084162485,0.0037952901,0.005953609,0.00095432985,0.0031558492,0.010888842,0.0,0.0017053862,0.00016692656,0.00314599,0.003681929,0.0008613552,0.000852254,0.002737702,0.0,0.00068724644,0.0
PTPRH,0.0049281707,0.0063714124,0.014716385,0.0115507115,0.015516,0.1531166,0.009457843,0.03960099,0.012448289,0.003598753,0.0060288617,0.0040215664,0.004423982,0.0077988273,0.00578971,0.0033088797,0.0033652256,0.0008739046,0.0052709435,0.0040559303
CTD-2587H24.10,0.0,0.0,0.0,0.0,0.0011992815,0.0018527292,0.0,0.0020051827,0.0,0.0,0.001065573,0.0,0.0,0.0,0.00030221572,0.0,0.0,0.0,0.0,0.0
TMEM86B,0.0030942566,0.0032654868,0.005073669,0.0023517227,0.014716681,0.016076421,0.009766616,0.008709875,0.0,0.0031380313,0.0043614875,0.008190954,0.0022161372,0.0064239763,0.0046526184,0.0021034325,0.0051215924,0.0054565426,0.0041615735,0.006584962
PPP6R1,0.06333664,0.06435147,0.11582387,0.09042104,0.0752485,0.06954526,0.049058575,0.06763239,0.052269373,0.055635415,0.09830865,0.10138249,0.074225076,0.09616018,0.080608584,0.029356543,0.06741327,0.06927839,0.070672914,0.11863944
HSPBP1,0.039706398,0.043049034,0.058449596,0.048574656,0.09693416,0.18439735,0.09517114,0.12560116,0.06271843,0.04324996,0.064231165,0.0509792,0.07966796,0.054347303,0.061345708,0.03966174,0.047108646,0.036549732,0.045652222,0.040014856
BRSK1,0.0017489489,0.0020824706,0.002888759,0.0041416115,0.004343084,0.018258762,0.015262425,0.008456712,0.0057737,0.0062800013,0.010290585,0.012298544,0.0014979764,0.0040008975,0.0029791521,0.17232901,0.0034012161,0.0014761842,0.0055950647,0.0032232944
CTD-2105E13.14,0.0,0.0,0.0,0.0,0.0,0.0044849236,0.0,0.0,0.0,0.0017141633,0.0024135283,0.0014258126,0.0,0.0,0.0012327355,0.00034087175,0.0,0.0,0.0,0.0
TMEM150B,0.01132516,0.008155087,0.0050332285,0.017700335,0.010610444,0.06471317,0.008803197,0.0140333865,0.0018607905,0.016935702,0.029042503,0.055858865,0.011694463,0.008782462,0.01691532,0.008138477,0.009878124,0.009916104,0.008126242,0.0088918535
CTD-2105E13.16,0.00033793238,0.00051737303,0.0015898609,0.0011630192,0.0,0.0006982072,0.0010344789,0.0007203928,0.0,0.0,0.0,0.0,0.0018477162,0.0006722283,0.0,0.0008714314,0.0020595426,0.0,0.0005152592,0.00081030134
KMT5C,0.0146741485,0.03604697,0.03919591,0.030386144,0.03204032,0.050905928,0.023974042,0.0482997,0.05307724,0.022797069,0.020206625,0.014048693,0.045210678,0.04840102,0.030599732,0.029184949,0.047154527,0.076427005,0.041420538,0.042505044
COX6B2,0.0011076886,0.0023011642,0.0007504218,0.0025421947,0.0013541679,0.0028993825,0.0011198531,0.0010004503,0.0,0.0,0.0013054204,0.0022762788,0.0,0.0028266206,0.0031994833,0.0011936022,0.0029969136,0.004953201,0.0014080576,0.0034597227
IL11,0.0,0.00033096442,0.0,0.0,0.0,0.00025355507,0.052918717,0.0,0.0,0.0,0.00097203476,0.00033472848,0.0054242336,6.088174e-05,0.0,0.0007731288,0.0,0.0,0.0006255527,0.0
TMEM190,0.0,0.0,0.0,0.0,0.0,0.0,0.008082613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM238,0.0009930045,0.0039265463,0.002338764,0.0018028418,0.0003194969,0.02164009,0.000640878,0.016665936,0.0016516069,0.0,0.00043562218,0.0005535798,0.009207257,0.0023389168,0.0007040303,0.00310083,0.0013353184,0.0021301568,0.001832284,0.004077938
RPL28,4.2024775,4.208621,3.9460225,4.1338434,3.2020447,3.399381,3.1602638,3.8287427,3.8905826,3.8588295,3.7631142,3.9545627,3.5852592,3.961156,3.9457855,2.7214851,4.070375,4.1167536,4.1120896,3.9880311
UBE2S,0.05910094,0.05715532,0.109243914,0.10565142,0.0756725,0.18487284,0.09212098,0.21902283,0.16267976,0.093677126,0.09660733,0.057173412,0.07863627,0.09078031,0.10377685,0.08157914,0.13670084,0.12346895,0.09471479,0.12516485
ISOC2,0.060319338,0.04995508,0.06782627,0.1228985,0.17632486,0.3585518,0.27401674,0.33618844,0.08417849,0.14805914,0.17247991,0.093004994,0.14672197,0.060916822,0.12762813,0.18338318,0.052585013,0.058176048,0.06766463,0.07426066
ZNF628,0.014367993,0.010037437,0.01970819,0.011686244,0.016615042,0.024972359,0.015930671,0.01828301,0.008947268,0.009766505,0.016071744,0.014777322,0.011228968,0.013465975,0.012027889,0.010371297,0.012562297,0.020463118,0.0061865686,0.012738206
NAT14,0.004286535,0.0027326026,0.003845248,0.007893486,0.021340283,0.0055824667,0.03983742,0.0038804146,0.005667519,0.0006423512,0.0043801563,0.004502238,0.008777636,0.0044668987,0.0034525488,0.0043599573,0.002405458,0.0019979388,0.005075776,0.005594903
SSC5D,0.0019904652,0.0003157343,0.00053873286,0.004830275,0.014257755,0.004934901,0.07803359,0.0033098874,0.0,0.012078207,0.013097611,0.002014626,0.021283684,0.00047782005,0.00858452,0.0005085287,0.0005649365,0.003432779,0.0,0.005536689
ZNF579,0.003894612,0.0037339746,0.0034775515,0.00796967,0.019037975,0.010594846,0.010216769,0.007171719,0.0,0.0020217947,0.007884623,0.005945786,0.0058194073,0.003718784,0.008459927,0.0035893747,0.0023172,0.0,0.00220106,0.0025898595
FIZ1,0.005232246,0.0042231767,0.007000121,0.0060138055,0.023039384,0.009790173,0.0035453418,0.011263054,0.0025387565,0.0073203444,0.011407662,0.008352968,0.008215524,0.005087044,0.0075187436,0.0041899397,0.0020443143,0.0027528508,0.0038905365,0.0031284979
ZNF524,0.07871821,0.10713467,0.09401938,0.094005525,0.16793714,0.15947339,0.07786899,0.12281121,0.07227361,0.10001993,0.15668246,0.22771066,0.09397158,0.095139585,0.11933423,0.070903845,0.0950271,0.09332787,0.12084061,0.098481365
