cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Pan-cancer (pooled),LRIT1,0.0898,0.7918040809314046,44,1142,-0.0826,-0.0804,0.9329416675012604
Pan-cancer (pooled),LRIT2,-0.3691,0.019084765510987377,44,1142,0.0652,0.0939,0.20285058113664176
Pan-cancer (pooled),LRIT3,-0.1493,0.18494760362455287,44,1142,0.1219,0.1367,0.5443689232750916
Pan-cancer (pooled),LRMDA,-0.1006,0.38974232841045264,44,1142,0.0188,0.0325,0.7313940021693173
Pan-cancer (pooled),LRP1,-0.0212,0.8171401103997415,44,1142,-0.1458,-0.1382,0.9412307650528532
Pan-cancer (pooled),LRP10,0.1384,0.918721787646782,44,1142,0.0214,0.0235,0.9760398373204436
Pan-cancer (pooled),LRP11,0.1885,0.2651034739686433,44,1142,0.1519,0.1295,0.6285297357836498
Pan-cancer (pooled),LRP12,0.0791,0.6783763857235994,44,1142,0.0265,0.0336,0.8862635316874216
Pan-cancer (pooled),LRP1B,0.1147,0.40398932257546705,44,1142,-0.1101,-0.1271,0.7378322138143095
Pan-cancer (pooled),LRP2,0.4984,0.0032775096039204983,44,1142,-0.0439,-0.0828,0.09460581399413018
Pan-cancer (pooled),LRP2BP,0.2566,0.0934772927638046,44,1142,0.0927,0.0696,0.4113230273736884
Pan-cancer (pooled),LRP3,-0.156,0.33205734102030404,44,1142,0.0649,0.0738,0.6855517367020664
Pan-cancer (pooled),LRP4,0.0253,0.6935465983464966,44,1142,-0.1362,-0.1414,0.8925560938025572
Pan-cancer (pooled),LRP5,0.0749,0.9880112363349765,44,1142,-0.1585,-0.1641,0.9979737200722433
Pan-cancer (pooled),LRP6,0.2186,0.046102389135430556,44,1142,0.0299,0.0016,0.3028065712774378
Pan-cancer (pooled),LRP8,0.1156,0.8241161806168689,44,1142,-0.1603,-0.1462,0.9435466085861407
Pan-cancer (pooled),LRPAP1,-0.0355,0.7357174019359216,44,1142,0.0145,0.0294,0.909615164732332
Pan-cancer (pooled),LRPPRC,-0.3148,0.031054055011889355,44,1142,-0.8079,-0.6584,0.2541443452387896
Pan-cancer (pooled),LRR1,-0.2716,0.06353830456400751,44,1142,-2.6323,-2.5142,0.3454534078645296
Pan-cancer (pooled),LRRC1,0.1714,0.3602928444328293,44,1142,-0.1581,-0.1806,0.7073700857905466
Pan-cancer (pooled),LRRC10,0.0365,0.55876410815221,44,1142,-0.0169,-0.0375,0.8307793717477012
Pan-cancer (pooled),LRRC10B,0.0768,0.4769802240341051,44,1142,-0.1228,-0.1319,0.7846543483628936
Pan-cancer (pooled),LRRC14,-0.1864,0.5150059179025386,44,1142,0.0122,0.0255,0.8073369385894221
Pan-cancer (pooled),LRRC14B,0.1795,0.285425994694287,44,1142,0.0467,0.028,0.647025728301297
Pan-cancer (pooled),LRRC15,0.0899,0.6568375042766552,44,1142,-0.1359,-0.1478,0.8774307747288016
Pan-cancer (pooled),LRRC17,0.246,0.13888025799660864,44,1142,-0.0425,-0.0542,0.48438841046587566
Pan-cancer (pooled),LRRC18,-0.2375,0.07858283796928564,44,1142,0.0134,0.0523,0.3790739035346482
Pan-cancer (pooled),LRRC19,-0.2573,0.31405064365341195,44,1142,0.1068,0.1158,0.6715852225819117
Pan-cancer (pooled),LRRC2,0.0116,0.798378421074555,44,1142,0.0344,0.0299,0.9355459069590802
Pan-cancer (pooled),LRRC20,0.1809,0.30486974107458376,44,1142,0.0214,0.0173,0.6635857401321147
Pan-cancer (pooled),LRRC23,-0.2336,0.09295250412702191,44,1142,0.01,0.0367,0.4111325484710483
Pan-cancer (pooled),LRRC24,-0.1725,0.2913330610279242,44,1142,0.0243,0.0428,0.6514893954906529
Pan-cancer (pooled),LRRC25,0.0331,0.5497501546778547,44,1142,0.011,0.0091,0.8262149043272662
Pan-cancer (pooled),LRRC26,0.0721,0.6952030945259016,44,1142,0.1523,0.1344,0.8933832630344147
Pan-cancer (pooled),LRRC27,0.2015,0.13000982708585201,44,1142,0.194,0.1625,0.47339708909893025
Pan-cancer (pooled),LRRC28,-0.3076,0.03842812032896074,44,1142,-0.0826,-0.0431,0.27904844153437514
Pan-cancer (pooled),LRRC3,0.2333,0.2683871484135396,44,1142,0.076,0.06,0.6313065667326746
Pan-cancer (pooled),LRRC30,-0.0917,0.33071758641870663,44,1142,0.0311,0.0484,0.6844525671830365
Pan-cancer (pooled),LRRC31,-0.224,0.18748723275944812,44,1142,0.0675,0.0755,0.5472904387506019
Pan-cancer (pooled),LRRC32,-0.1063,0.3381295643264971,44,1142,-0.0952,-0.0691,0.6895258976388513
Pan-cancer (pooled),LRRC34,0.1487,0.3791995134272813,44,1142,0.0545,0.0355,0.7231124614766119
Pan-cancer (pooled),LRRC36,-0.2422,0.18554286134449405,44,1142,0.0583,0.0796,0.5448688252158733
Pan-cancer (pooled),LRRC37A2,0.4347,0.00224407762345955,38,1008,-0.2474,-0.4002,0.07708535606561914
Pan-cancer (pooled),LRRC37A3,0.2316,0.11272676113243342,38,1008,-0.3053,-0.3749,0.44552079003729866
Pan-cancer (pooled),LRRC37B,-0.4865,0.0015837826555529831,44,1142,-0.4656,-0.3544,0.06425069411022748
Pan-cancer (pooled),LRRC38,-0.1101,0.3697907315755491,44,1142,-0.0363,-0.0079,0.7154421242858406
Pan-cancer (pooled),LRRC39,-0.1227,0.6856159088797795,44,1142,-0.0636,-0.0732,0.8897574626998137
Pan-cancer (pooled),LRRC3B,-0.0321,0.5072194038556253,44,1142,-0.0108,0.0071,0.8032280429687554
Pan-cancer (pooled),LRRC3C,0.0644,0.9923055485601183,44,1142,-0.1868,-0.1788,0.9989417159351828
Pan-cancer (pooled),LRRC4,0.0519,0.6895769909927834,44,1142,0.0608,0.0417,0.8916712357028628
Pan-cancer (pooled),LRRC40,0.2676,0.0535125781418936,44,1142,0.0607,0.0354,0.32048565085580966
Pan-cancer (pooled),LRRC41,0.0121,0.5760858630098478,44,1142,-0.0381,-0.0678,0.8393431063321346
Pan-cancer (pooled),LRRC42,0.2263,0.11933474355412052,44,1142,0.0189,-0.0109,0.45751363837266085
Pan-cancer (pooled),LRRC43,-0.3188,0.02299910213134323,44,1142,-0.139,-0.0998,0.22183803137015354
Pan-cancer (pooled),LRRC45,0.3021,0.05629014195372106,44,1142,-0.1411,-0.1634,0.3265410984704537
Pan-cancer (pooled),LRRC46,-0.1566,0.26761201701960646,44,1142,-0.193,-0.1695,0.6309319679305357
Pan-cancer (pooled),LRRC47,-0.3196,0.020384132697219438,44,1142,-0.0088,0.0128,0.20946010509675744
Pan-cancer (pooled),LRRC49,-0.0788,0.5816080733765501,44,1142,0.0003,0.0121,0.8417122166033025
Pan-cancer (pooled),LRRC4B,0.1393,0.354202100232317,44,1142,-0.0263,-0.0268,0.7030327495312902
Pan-cancer (pooled),LRRC4C,-0.0681,0.3959530071055334,44,1142,0.0493,0.061,0.7336812411294119
Pan-cancer (pooled),LRRC51,-0.0792,0.3664489156672671,44,1142,0.0876,0.1036,0.7128222506866747
Pan-cancer (pooled),LRRC52,-0.2534,0.1696839471206132,44,1142,0.1865,0.1994,0.525311266543459
Pan-cancer (pooled),LRRC55,-0.1841,0.14608232119141165,44,1142,-0.085,-0.0619,0.49450672102760096
Pan-cancer (pooled),LRRC56,-0.1682,0.2496539326610323,44,1142,-0.0858,-0.0791,0.6126378358484973
Pan-cancer (pooled),LRRC57,0.2139,0.11997448044846046,44,1142,-0.0812,-0.1194,0.4579102615839388
Pan-cancer (pooled),LRRC58,0.2762,0.0864254352510385,44,1142,-0.0132,-0.0287,0.3965441349760418
Pan-cancer (pooled),LRRC59,-0.0487,0.6180910819937281,44,1142,-0.059,-0.0516,0.857949465182655
