cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Pan-cancer (pooled),SEBOX,-0.7417,4.7535244926761845e-06,44,1142,-0.231,-0.1406,0.003705889029485942
Pan-cancer (pooled),OR5AU1,-0.7415,3.0006197687552635e-05,38,1029,-0.2702,-0.1882,0.00905344656565169
Pan-cancer (pooled),MIS18BP1,-0.7396,3.3815029096083616e-05,44,1142,-1.1531,-1.0152,0.009587320851546392
Pan-cancer (pooled),SDHC,-0.7346,2.9337087569333523e-06,44,1142,-1.2625,-0.954,0.002630216586028597
Pan-cancer (pooled),PRPF39,-0.7343,2.5915213496054726e-05,44,1142,-0.6622,-0.4066,0.008152380582416794
Pan-cancer (pooled),MALSU1,-0.7306,3.3509420584177353e-06,44,1142,-0.283,-0.107,0.002731170093158564
Pan-cancer (pooled),TMEM147,-0.7271,1.5284733610759242e-07,44,1142,-0.2277,-0.1001,0.0004567842639575399
Pan-cancer (pooled),ISG20L2,-0.7262,0.00016634275245037055,44,1142,-1.0135,-0.9079,0.0214582150660978
Pan-cancer (pooled),METTL17,-0.7216,5.7516565268086824e-05,44,1142,-0.6849,-0.4982,0.01171965377070528
Pan-cancer (pooled),RNF6,-0.7201,1.3628432788566822e-05,44,1142,-0.2064,-0.1389,0.005960278739799797
Pan-cancer (pooled),SNAP23,-0.7188,3.96785280164971e-05,44,1142,-1.2566,-0.6982,0.009980740788458134
Pan-cancer (pooled),SNRNP25,-0.7147,0.0007248326980258363,44,1142,-1.7262,-1.6159,0.04332046943000744
Pan-cancer (pooled),INCENP,-0.7104,0.0009077426720198202,44,1142,-1.3318,-1.2204,0.04887908063659879
Pan-cancer (pooled),RCC1L,-0.7058,1.0735903393841696e-05,44,1142,-0.7137,-0.5156,0.005322487266172557
Pan-cancer (pooled),ARL13B,-0.7052,0.00011424454701047844,44,1142,-0.1313,-0.0486,0.017133743813690285
Pan-cancer (pooled),PIDD1,-0.7035,1.0982768883407764e-05,44,1142,-0.0649,0.0126,0.005322487266172557
Pan-cancer (pooled),SRRT,-0.7032,5.918263295522335e-05,44,1142,-0.9623,-0.8502,0.011858624065665742
Pan-cancer (pooled),COX7B,-0.7025,1.0802699754854802e-05,44,1142,-0.8439,-0.6225,0.005322487266172557
Pan-cancer (pooled),SPATA31A3,-0.6913,3.6853500795476676e-05,38,1008,-0.2087,-0.0871,0.009717942981819005
Pan-cancer (pooled),AHCY,-0.6884,4.085058864977778e-05,44,1142,-1.1113,-0.8385,0.009980740788458134
Pan-cancer (pooled),UQCR10,-0.6867,0.00019221549788847714,38,1029,-0.4879,-0.2046,0.023264717697491995
Pan-cancer (pooled),ANXA2R,-0.6863,7.753171901437682e-05,44,1142,-0.1497,-0.0914,0.013988581338787958
Pan-cancer (pooled),COX5A,-0.6755,4.346170898148315e-05,44,1142,-0.6856,-0.5105,0.009980740788458134
Pan-cancer (pooled),APBB3,-0.6725,0.0005615546803186579,44,1142,-0.076,-0.0134,0.038313973866318296
Pan-cancer (pooled),AP3M1,-0.6722,5.7188726483508397e-05,44,1142,-0.2224,-0.1493,0.01171965377070528
Pan-cancer (pooled),SNRPD3,-0.6711,0.00022192158239223367,22,333,-5.7992,-5.552,0.02425107791355611
Pan-cancer (pooled),VMA12,-0.6678,1.2149808253094346e-05,44,1142,-0.9453,-0.7268,0.00550272599978524
Pan-cancer (pooled),S100B,-0.6635,0.00039183515342818134,44,1142,0.0854,0.1485,0.03208217413753753
