gene,spearman_r,pvalue,fdr
EVC,-0.4018,0.006856677598247922,0.2952498796753268
KBTBD7,-0.4016,0.006899592837923142,0.2952498796753268
NSD2,-0.4016,0.006899592837923142,0.2952498796753268
SVEP1,-0.4011,0.006964401557757722,0.2966074107615106
RAD21,-0.4011,0.006964401557757722,0.2966074107615106
KBTBD13,-0.4001,0.007117673990463064,0.29910450975818625
LIMS2,-0.3999,0.007161998466329042,0.29933480769529075
PHLDA1,-0.3996,0.007206561457517724,0.29934125576235215
TNPO2,-0.3987,0.007341692034966282,0.3026127314642424
XPO1,-0.3986,0.007364425417436837,0.30285354985009744
DHRS3,-0.3984,0.007387219615934068,0.3030957613585763
OR10Q1,-0.3982,0.013289376488496263,0.36926133446030873
ELF3,-0.3979,0.0074790072323403746,0.30546378058283125
PICK1,-0.3975,0.007548493048277777,0.3064604738512151
MZT2A,-0.3975,0.013456140394134054,0.3717543871599747
BTNL9,-0.3973,0.007571778578699849,0.3064604738512151
DLGAP4,-0.3973,0.007571778578699849,0.3064604738512151
MRGPRG,-0.3969,0.0076420078299060884,0.307479133220529
TMEM129,-0.3968,0.007665542250394672,0.307479133220529
UNC93A,-0.3958,0.007832042502604457,0.3113714458352504
PSMD8,-0.3958,0.007832042502604457,0.3113714458352504
SRSF3,-0.3951,0.007952873972199615,0.3140859698712315
NAIF1,-0.3948,0.00800165501206578,0.3146264788735514
ANKRD52,-0.3945,0.0080506939676704,0.31586201934426755
SRSF11,-0.3944,0.008075310510487621,0.3158708545073598
CC2D1A,-0.3942,0.008099991948595868,0.3158708545073598
FBXO17,-0.3941,0.008124738421219165,0.3158708545073598
EPHA10,-0.3938,0.00817442702796023,0.3158708545073598
AKAP4,-0.3938,0.00817442702796023,0.3158708545073598
MRAS,-0.3934,0.008249451189653131,0.3158708545073598
UGT1A10,-0.3931,0.008299796435083434,0.3158708545073598
FBXL15,-0.393,0.008325068221191292,0.3158708545073598
WDR90,-0.3928,0.008350406304321725,0.3158708545073598
AKAP1,-0.3921,0.008478096129445844,0.31886744119844684
GBX1,-0.3917,0.00855551466683919,0.31886744119844684
CHST2,-0.3908,0.008712180188649495,0.3197588559619248
BOC,-0.3907,0.008738529805986791,0.3197588559619248
BCL6B,-0.39,0.00887130954790166,0.32133637971773155
LONRF2,-0.39,0.00887130954790166,0.32133637971773155
POTEG,-0.3899,0.015536163433421518,0.3878129431354801
SLC35E4,-0.3882,0.009224691823946739,0.32592334961208475
COL23A1,-0.3876,0.009335831304232156,0.32693643610328627
TP53INP2,-0.3873,0.0093918313517579,0.32761777458564034
PSG2,-0.3872,0.016308956242096266,0.39569632668577276
GLCCI1,-0.3872,0.009419939475206087,0.3279602228940682
SLC13A1,-0.3862,0.009618728212694131,0.3310245620990514
EMC6,-0.3862,0.009618728212694131,0.3310245620990514
KCNE1,-0.386,0.009647418680095131,0.33109533279243647
GLP2R,-0.3859,0.009676182620370146,0.33109533279243647
SLC16A1,-0.3859,0.009676182620370146,0.33109533279243647
DRD2,-0.3856,0.009733931526965826,0.33180492828611646
CANT1,-0.3849,0.009879600221293812,0.33406427076765005
SORBS3,-0.3848,0.009908957427540301,0.33406427076765005
ANKRD9,-0.3845,0.009967896534338693,0.33406427076765005
PCK1,-0.3845,0.009967896534338693,0.33406427076765005
PDXP,-0.3837,0.01014652250592422,0.33601360539386216
PIGG,-0.3835,0.010176558886770236,0.33601360539386216
GPALPP1,-0.3834,0.010206671505941758,0.33601360539386216
TRPV4,-0.3832,0.010236860519128255,0.33601360539386216
AOC3,-0.3829,0.010297468351386785,0.33601360539386216
SLC4A3,-0.3828,0.010327887482920522,0.33601360539386216
TTC12,-0.3827,0.010358383633392814,0.33601360539386216
GFI1,-0.3827,0.010358383633392814,0.33601360539386216
CBX6,-0.3824,0.010419607618459975,0.33601360539386216
CLK2,-0.3813,0.010667615777031784,0.3421652073026474
GRIK5,-0.3811,0.010698969530527739,0.3425580780042185
RRP1B,-0.381,0.010730402198549649,0.3429520702673711
SIX1,-0.3801,0.010920664352040707,0.34635111880714337
HSPB1,-0.38,0.010952653896466831,0.34635111880714337
MSRB1,-0.3798,0.010984723636520238,0.3467536880331124
TRIM58,-0.3796,0.0110491043481921,0.3475621771282182
ZNF799,-0.3794,0.01882391889534776,0.41382920098640014
LILRA1,-0.3784,0.011309867349912144,0.35178894419075035
PSD2,-0.3783,0.011342829923441631,0.35178894419075035
MRGPRX4,-0.378,0.011409001664414414,0.35178894419075035
PSMD6,-0.3779,0.011442211159535849,0.35178894419075035
ITGB2,-0.3777,0.011475503289896116,0.35178894419075035
TMEM125,-0.3776,0.011508878219879374,0.35178894419075035
CEP72,-0.3776,0.011508878219879374,0.35178894419075035
PLEKHD1,-0.3774,0.01154233611408788,0.35178894419075035
ACY3,-0.3774,0.01154233611408788,0.35178894419075035
RPGR,-0.3773,0.011575877137342037,0.35178894419075035
LAMB2,-0.3767,0.011710875824857586,0.35528934609085705
CKAP5,-0.3766,0.011744834973281054,0.3557177214035968
MRC2,-0.3759,0.011915895883873049,0.35799093318451886
FEM1B,-0.3758,0.011950362267177446,0.35799093318451886
GMEB2,-0.3756,0.011984913774393128,0.35799093318451886
JAG2,-0.3755,0.012019550573177934,0.35799093318451886
DEGS1,-0.3755,0.012019550573177934,0.35799093318451886
E2F3,-0.3753,0.01205427283140811,0.3584297045889675
C22orf42,-0.3749,0.012158954044809737,0.3599032397826047
HOXD9,-0.3749,0.012158954044809737,0.3599032397826047
PRR23B,-0.3748,0.01219401982395241,0.3599032397826047
AGFG1,-0.3745,0.012264410457734048,0.3599032397826047
PRKCG,-0.3743,0.012299735650965362,0.3599413488752324
CITED2,-0.3742,0.012335147654515988,0.3599413488752324
MYO5C,-0.3742,0.012335147654515988,0.3599413488752324
DNAH1,-0.3739,0.012406232772163614,0.3599413488752324
CSTB,-0.3739,0.012406232772163614,0.3599413488752324
STUB1,-0.3738,0.012441906226600982,0.36039318036018675
CCDC166,-0.3736,0.0124776671720385,0.3608460845075005
CMIP,-0.3731,0.012621589281398955,0.36383455918887986
HPDL,-0.3731,0.012621589281398955,0.36383455918887986
DMD,-0.3729,0.012657790246956138,0.3641677593255342
HMGN2,-0.3728,0.021160553659692424,0.42594597357623265
HTR1A,-0.3728,0.012694079731090846,0.3641677593255342
GPR27,-0.3727,0.012730457905830907,0.36462797164784055
OR52I1,-0.3721,0.021406968548592694,0.42694877205368964
KCNJ5,-0.372,0.012913685174885203,0.36869804965874475
NLRP7,-0.3718,0.01295059911808129,0.3691641370225716
CAPN13,-0.3717,0.01298760296219725,0.36926133446030873
VSTM4,-0.3715,0.013024696881009306,0.36926133446030873
LSM14B,-0.3714,0.013061881048512308,0.36926133446030873
MED8,-0.3707,0.013249161721507072,0.36926133446030873
CELA2B,-0.3707,0.013249161721507072,0.36926133446030873
INTS9,-0.3705,0.013286891047284357,0.36926133446030873
GRID2IP,-0.3705,0.013286891047284357,0.36926133446030873
OVOL1,-0.3705,0.013286891047284357,0.36926133446030873
ATOSB,-0.3704,0.0133247118458349,0.36926133446030873
SNAPC4,-0.3704,0.0133247118458349,0.36926133446030873
MYC,-0.3698,0.0134769132859041,0.3717554695634777
C1QTNF4,-0.3696,0.013553567422269569,0.3721523183480756
EPS8L1,-0.3696,0.013553567422269569,0.3721523183480756
