gene,score,logfoldchange,pval,pval_adj,subtype
TSPAN7,13.466576,,2.460135486421764e-41,9.728664355709304e-39,SST_PLTS
SPOCK3,12.931886,,2.974330302558662e-38,1.051077702025464e-35,SST_PLTS
PDE1A,12.904901,,4.223625656849476e-38,1.4614624694711032e-35,SST_PLTS
PLCH1,12.516282,,6.081812513217577e-36,2.0202564806406147e-33,SST_PLTS
SPARCL1,12.50479,,7.028537848232652e-36,2.2889604925744338e-33,SST_PLTS
CREG2,12.365617,,4.011202659435349e-35,1.233741943899291e-32,SST_PLTS
UCHL1,12.258261,,1.517220451857215e-34,4.4999133008743724e-32,SST_PLTS
RALYL,12.131411,,7.1998057148377484e-34,2.0617512606506925e-31,SST_PLTS
SATB1,11.742055,,7.757848015880055e-32,2.045239645964315e-29,SST_PLTS
ROBO2,11.6238,,3.1194351061864593e-31,8.095421512289204e-29,SST_PLTS
STMN1,11.257337,,2.1310187815978816e-29,5.205013374052826e-27,SST_PLTS
NETO1,11.1003065,,1.2501398483692232e-28,2.966224677366347e-26,SST_PLTS
BASP1,11.067506,,1.803496067046041e-28,4.218910729234887e-26,SST_PLTS
CACNA2D3,11.008135,,3.491579511180294e-28,8.054395014054653e-26,SST_PLTS
SNAP25,10.967755,,5.461106940143457e-28,1.209380335584569e-25,SST_PLTS
NREP,10.924132,,8.838118908353348e-28,1.9063937266083216e-25,SST_PLTS
PRNP,10.9122925,,1.0068514685166797e-27,2.1439482103325046e-25,SST_PLTS
EID1,10.726657,,7.630692310423602e-27,1.564668747948464e-24,SST_PLTS
CHN1,10.591339,,3.2688062589304766e-26,6.541157006575456e-24,SST_PLTS
GRID2,10.50598,,8.107629370109153e-26,1.5302229114561698e-23,SST_PLTS
CDH8,10.476902,,1.1029754630726177e-25,2.0583505018172033e-23,SST_PLTS
GRIA3,10.361531,,3.70976631140792e-25,6.418282152726473e-23,SST_PLTS
SCG3,10.188788,,2.225192146104291e-24,3.6592293420441754e-22,SST_PLTS
RTN3,10.1642685,,2.862627106332614e-24,4.57167053933446e-22,SST_PLTS
BCL11A,10.140909,,3.636993593427331e-24,5.753031104117575e-22,SST_PLTS
SCN3B,10.002222,,1.4901481864142602e-23,2.2706303879040775e-21,SST_PLTS
STMN4,9.968338,,2.0970785768792426e-23,3.1663980075806675e-21,SST_PLTS
DMD,9.7981615,,1.146538666702622e-22,1.655900931762074e-20,SST_PLTS
CDH9,9.786658,,1.2847186039528319e-22,1.8394733873321193e-20,SST_PLTS
ITM2B,9.721505,,2.441463755465613e-22,3.4075858415570056e-20,SST_PLTS
RUNX1T1,9.621931,,6.460662128835395e-22,8.868193165109676e-20,SST_PLTS
CALM2,9.571072,,1.0580283282670613e-21,1.4171606858215826e-19,SST_PLTS
WLS,9.508088,,1.941986595646801e-21,2.5003453772943964e-19,SST_PLTS
CHRM3,9.458691,,3.1182203519847085e-21,3.9838862943164627e-19,SST_PLTS
SLC8A1-AS1,9.395572,,5.690789635782368e-21,7.215139317611401e-19,SST_PLTS
GNAS,9.312376,,1.2500372482616076e-20,1.5266079894394882e-18,SST_PLTS
LIMCH1,9.303267,,1.3619528794521788e-20,1.651144187943156e-18,SST_PLTS
GRIK2,9.211733,,3.20901053962021e-20,3.780032344152629e-18,SST_PLTS
NGFRAP1,9.202511,,3.4968303643314584e-20,4.061458428054629e-18,SST_PLTS
EPB41L2,9.185077,,4.112351153589643e-20,4.743197243747943e-18,SST_PLTS
MARCKS,9.10543,,8.592559834357428e-20,9.642826100597467e-18,SST_PLTS
TMEM66,8.86047,,7.967778185947024e-19,8.649465875189159e-17,SST_PLTS
TMTC1,8.791362,,1.4775814932051766e-18,1.5833000658480502e-16,SST_PLTS
TLN2,8.668957,,4.360989483785968e-18,4.526979646012572e-16,SST_PLTS
SYT1,8.668014,,4.39722912094887e-18,4.536247109927937e-16,SST_PLTS
BACH1,8.638652,,5.688039556612324e-18,5.795868036550558e-16,SST_PLTS
PDE1C,8.50345,,1.8403789531539277e-17,1.8086895877475496e-15,SST_PLTS
H3F3B,8.12823,,4.356028064504417e-16,3.9971972443841914e-14,SST_PLTS
