Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,subtype
GO_Biological_Process_2023,Axonogenesis (GO:0007409),4/188,0.0012424779544873,0.0200258549558074,0,0,9.341209829867674,62.49874259702174,RELN;NRXN1;CCK;CTNNA2,NPY_NGF
GO_Biological_Process_2023,Calcium-Mediated Signaling (GO:0019722),3/85,0.0012570974643791,0.0200258549558074,0,0,15.465490399584846,103.29323424451243,CHRM3;MCTP1;SLC8A1,NPY_NGF
GO_Biological_Process_2023,Sodium Ion Import Across Plasma Membrane (GO:0098719),2/21,0.0012477930702112,0.0200258549558074,0,0,43.708333333333336,292.25047477799524,SLC6A1;SLC8A1,NPY_NGF
GO_Biological_Process_2023,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),3/83,0.0011735239744728,0.0200258549558074,0,0,15.85372340425532,106.97686877010656,GRIN2A;CACNA2D1;SLC8A1,NPY_NGF
KEGG_2021_Human,Pancreatic secretion,3/102,0.0021212129826486,0.0203030385482086,0,0,12.798839458413926,78.78667603753651,CHRM3;PRKCB;CCK,NPY_NGF
Reactome_2022,Downregulation Of ERBB2 Signaling R-HSA-8863795,2/29,0.0023818121959682,0.0206423723650584,0,0,30.74537037037037,185.6987673947897,NRG1;EGFR,NPY_NGF
GO_Biological_Process_2023,Sodium Ion Transport (GO:0006814),3/89,0.0014352931477222,0.0223449046861305,0,0,14.743196437407224,96.51465720793364,SLC6A1;FGF13;SLC8A1,NPY_NGF
GO_Biological_Process_2023,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),3/90,0.0014821871128384,0.0225621816065409,0,0,14.573000733675716,94.93197333904207,RELN;NRG1;EGFR,NPY_NGF
Reactome_2022,"Glutamate Binding, Activation Of AMPA Receptors And Synaptic Plasticity R-HSA-399721",2/31,0.0027192556482504,0.0228737386882242,0,0,28.62212643678161,169.08226656127547,GRIA2;PRKCB,NPY_NGF
GO_Biological_Process_2023,Positive Regulation Of Neuron Projection Development (GO:0010976),3/92,0.0015788398918981,0.0235109853467436,0,0,14.244083193879993,91.88950579800434,ALK;RELN;LRRC7,NPY_NGF
Reactome_2022,Phase 0 - Rapid Depolarisation R-HSA-5576892,2/32,0.0028959211173454,0.0236638125588797,0,0,27.666666666666668,161.69650653172428,FGF14;FGF13,NPY_NGF
GO_Biological_Process_2023,Gliogenesis (GO:0042063),2/24,0.0016321249773357,0.0237873533930852,0,0,37.74242424242424,242.22606459531664,RELN;NFIB,NPY_NGF
KEGG_2021_Human,Ras signaling pathway,4/232,0.0026752089635542,0.0238985334077509,0,0,7.521739130434782,44.556735074481445,GRIN2A;PRKCB;KIT;EGFR,NPY_NGF
Reactome_2022,Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260,2/36,0.0036549257227984,0.029036354353343,0,0,24.40686274509804,136.96349152286243,KIT;EGFR,NPY_NGF
GO_Biological_Process_2023,Cardiac Muscle Cell Differentiation (GO:0055007),2/27,0.0020657293545543,0.0294796793306193,0,0,33.208333333333336,205.3029465636782,NRG1;SLC8A1,NPY_NGF
GO_Biological_Process_2023,Inorganic Cation Import Across Plasma Membrane (GO:0098659),3/103,0.002181029234164,0.0304898984775998,0,0,12.670212765957446,77.64253659479164,CACNA2D1;SLC6A1;SLC8A1,NPY_NGF
GO_Biological_Process_2023,Positive Regulation Of Kinase Activity (GO:0033674),3/104,0.0022418858798504,0.0307138365539511,0,0,12.544133136717926,76.5247046664134,ALK;RELN;EGFR,NPY_NGF
Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,5/424,0.0040473223188806,0.0312847076540507,0,0,5.179262795014585,28.536183042661268,ALK;KIT;NRG1;FGF13;EGFR,NPY_NGF
GO_Biological_Process_2023,Regulation Of Neuron Migration (GO:2001222),2/29,0.0023818121959682,0.0313757952738129,0,0,30.74537037037037,185.6987673947897,RELN;CTNNA2,NPY_NGF
GO_Biological_Process_2023,Cardiac Muscle Cell Action Potential (GO:0086001),2/29,0.0023818121959682,0.0313757952738129,0,0,30.74537037037037,185.6987673947897,CACNA2D1;SLC8A1,NPY_NGF
GO_Biological_Process_2023,Regulation Of Potassium Ion Transport (GO:0043266),2/30,0.0025478771667966,0.0329301105519941,0,0,29.645833333333332,177.0595839464994,KCNIP1;KCNIP4,NPY_NGF
Reactome_2022,RNA Polymerase III Abortive And Retractive Initiation R-HSA-749476,2/40,0.0044964248068071,0.0329737819165857,0,0,21.833333333333332,117.99765363023796,NFIX;NFIB,NPY_NGF
Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,4/268,0.0044766907064186,0.0329737819165857,0,0,6.484189723320158,35.07214696627238,KIT;NRG1;FGF13;EGFR,NPY_NGF
Reactome_2022,Non-integrin membrane-ECM Interactions R-HSA-3000171,2/41,0.0047194951697385,0.0337443904636308,0,0,21.272435897435894,113.93630347986566,NRXN1;FGF13,NPY_NGF
GO_Biological_Process_2023,Central Nervous System Neuron Differentiation (GO:0021953),2/31,0.0027192556482504,0.0344942614639175,0,0,28.62212643678161,169.08226656127547,NPY;SPOCK1,NPY_NGF
GO_Biological_Process_2023,Positive Regulation Of Cellular Component Organization (GO:0051130),3/113,0.0028374324702645,0.0353389316751133,0,0,11.512572533849127,67.51957659481218,RELN;NRXN1;NRG1,NPY_NGF
GO_Biological_Process_2023,Muscle Cell Development (GO:0055001),2/32,0.0028959211173454,0.035423320810386,0,0,27.666666666666668,161.69650653172428,SGCZ;SLC8A1,NPY_NGF
KEGG_2021_Human,Dopaminergic synapse,3/132,0.0043921674187477,0.0354424073007151,0,0,9.807521029193468,53.23456171195664,GRIA2;GRIN2A;PRKCB,NPY_NGF
KEGG_2021_Human,Nicotine addiction,2/40,0.0044964248068071,0.0354424073007151,0,0,21.833333333333332,117.99765363023796,GRIA2;GRIN2A,NPY_NGF
GO_Biological_Process_2023,Regulation Of Potassium Ion Transmembrane Transport (GO:1901379),2/33,0.0030778471463162,0.0369881630741515,0,0,26.772849462365592,154.84144163978604,KCNIP1;KCNIP4,NPY_NGF
GO_Biological_Process_2023,Cellular Response To Amyloid-Beta (GO:1904646),2/34,0.0032650074009337,0.0376910111919938,0,0,25.934895833333332,148.46413612460563,GRIN2A;CACNA2D1,NPY_NGF
GO_Biological_Process_2023,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),4/246,0.0033014024401746,0.0376910111919938,0,0,7.081566654689184,40.45987900324554,ALK;RELN;PRKCB;KIT,NPY_NGF
GO_Biological_Process_2023,Glial Cell Differentiation (GO:0010001),2/34,0.0032650074009337,0.0376910111919938,0,0,25.934895833333332,148.46413612460563,RELN;NFIB,NPY_NGF
GO_Biological_Process_2023,Dendrite Morphogenesis (GO:0048813),2/35,0.0034573756419477,0.0388246281103968,0,0,25.147727272727273,142.5183432834292,DOCK10;CTNNA2,NPY_NGF
GO_Biological_Process_2023,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),3/124,0.0036867515545537,0.0400861081725288,0,0,10.460172322841569,58.60844537950275,PTPRT;ALK;EGFR,NPY_NGF
GO_Biological_Process_2023,Positive Regulation Of Phospholipase C Activity (GO:0010863),2/36,0.0036549257227984,0.0400861081725288,0,0,24.40686274509804,136.96349152286243,KIT;EGFR,NPY_NGF
GO_Biological_Process_2023,Calcium Ion Import Across Plasma Membrane (GO:0098703),2/37,0.0038576315924392,0.041288713137826,0,0,23.708333333333332,131.76384828572083,CACNA2D1;SLC8A1,NPY_NGF
Reactome_2022,Signal Transduction R-HSA-162582,13/2465,0.0063469422966112,0.0442737926056294,0,0,2.5073189012830124,12.686487321133034,ALK;CHRM3;PRKCB;NRG1;EGFR;DOCK10;LRRC7;NPY;ID2;DNER;KIT;PMEPA1;FGF13,NPY_NGF
GO_Biological_Process_2023,Negative Regulation Of Transport (GO:0051051),2/39,0.0042784069542198,0.0444046782369786,0,0,22.42454954954955,122.3074073504305,MCTP1;NRG1,NPY_NGF
GO_Biological_Process_2023,Digestive Tract Development (GO:0048565),2/39,0.0042784069542198,0.0444046782369786,0,0,22.42454954954955,122.3074073504305,NPY;KIT,NPY_NGF
GO_Biological_Process_2023,Positive Regulation Of Signal Transduction (GO:0009967),4/266,0.0043596676837796,0.0445727218416278,0,0,6.534351145038168,35.516547205567086,GRIN2A;RELN;PRKCB;NRXN1,NPY_NGF
KEGG_2021_Human,Oxytocin signaling pathway,3/154,0.0067341648445892,0.045118904458748,0,0,8.369310976468931,41.85125407551329,PRKCB;CACNA2D1;EGFR,NPY_NGF
KEGG_2021_Human,Cocaine addiction,2/49,0.0066828970303688,0.045118904458748,0,0,17.64450354609929,88.36726791367238,GRIA2;GRIN2A,NPY_NGF
KEGG_2021_Human,MAPK signaling pathway,4/294,0.0061960277031711,0.045118904458748,0,0,5.895052473763118,29.969544157417683,PRKCB;CACNA2D1;KIT;EGFR,NPY_NGF
Reactome_2022,Signaling By ERBB2 R-HSA-1227986,2/49,0.0066828970303688,0.0455073464448926,0,0,17.64450354609929,88.36726791367238,NRG1;EGFR,NPY_NGF
Reactome_2022,Intracellular Signaling By Second Messengers R-HSA-9006925,4/306,0.0071199861165049,0.0473561867283817,0,0,5.657356752087533,27.974777726621507,KIT;NRG1;FGF13;EGFR,NPY_NGF
GO_Biological_Process_2023,Heart Contraction (GO:0060047),2/41,0.0047194951697385,0.047541973401043,0,0,21.272435897435894,113.93630347986566,SGCZ;SLC8A1,NPY_NGF
Reactome_2022,Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,2/52,0.007499481830469,0.0487466318980489,0,0,16.583333333333332,81.14094572244915,NRG1;EGFR,NPY_NGF
KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,2/53,0.0077812124839393,0.049651546326089,0,0,16.25735294117647,78.94640668269977,PRKCB;SLC8A1,NPY_NGF
