library,term,overlap,p_value,adj_p_value,genes,combined_score
GO_Biological_Process_2023,Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),1/15,0.0163791067947741,0.0616212791394998,SAMHD1,279.20731867751766
GO_Biological_Process_2023,Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236),1/15,0.0163791067947741,0.0616212791394998,PRKN,279.20731867751766
GO_Biological_Process_2023,Negative Regulation Of Gluconeogenesis (GO:0045721),1/15,0.0163791067947741,0.0616212791394998,EP300,279.20731867751766
GO_Biological_Process_2023,N-terminal Protein Amino Acid Acetylation (GO:0006474),1/15,0.0163791067947741,0.0616212791394998,EP300,279.20731867751766
GO_Biological_Process_2023,Regulation Of Carbohydrate Metabolic Process (GO:0006109),1/15,0.0163791067947741,0.0616212791394998,PRKN,279.20731867751766
GO_Biological_Process_2023,Regulation Of Cellular Response To Heat (GO:1900034),1/15,0.0163791067947741,0.0616212791394998,EP300,279.20731867751766
Reactome_2022,TRAF3-dependent IRF Activation Pathway R-HSA-918233,1/15,0.0163791067947741,0.0750499904334582,EP300,279.20731867751766
Reactome_2022,Polo-like Kinase Mediated Events R-HSA-156711,1/16,0.0174618968734111,0.0750499904334582,EP300,256.52354192445085
Reactome_2022,Regulation Of Gene Expression In Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells R-HSA-210744,1/16,0.0174618968734111,0.0750499904334582,EP300,256.52354192445085
Reactome_2022,FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657,1/16,0.0174618968734111,0.0750499904334582,EP300,256.52354192445085
GO_Biological_Process_2023,Negative Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090201),1/16,0.0174618968734111,0.0616212791394998,PRKN,256.52354192445085
Reactome_2022,STING Mediated Induction Of Host Immune Responses R-HSA-1834941,1/16,0.0174618968734111,0.0750499904334582,TREX1,256.52354192445085
GO_Biological_Process_2023,Negative Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046426),1/16,0.0174618968734111,0.0616212791394998,PARP14,256.52354192445085
GO_Biological_Process_2023,Positive Regulation By Host Of Viral Transcription (GO:0043923),1/16,0.0174618968734111,0.0616212791394998,EP300,256.52354192445085
GO_Biological_Process_2023,Mitophagy (GO:0000423),1/16,0.0174618968734111,0.0616212791394998,PRKN,256.52354192445085
GO_Biological_Process_2023,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902254),1/16,0.0174618968734111,0.0616212791394998,PRKN,256.52354192445085
