library,term,overlap,p_value,adj_p_value,genes,combined_score
GO_Biological_Process_2023,Positive Regulation Of Intracellular Protein Transport (GO:0090316),1/126,0.1298688230979286,0.1492109882401733,EP300,15.43792264900532
GO_Biological_Process_2023,Regulation Of Response To External Stimulus (GO:0032101),1/127,0.1308320341736999,0.1498621482353291,SAMHD1,15.259187734338411
Reactome_2022,Autophagy R-HSA-9612973,1/128,0.1317942274327971,0.1777689579326101,PRKN,15.083734012428744
GO_Biological_Process_2023,Protein Homooligomerization (GO:0051260),1/129,0.1327554038555205,0.1516058690555491,SAMHD1,14.911477387157236
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),1/130,0.1337155645117017,0.1522424198356121,PARP14,14.742336530237584
KEGG_2021_Human,FoxO signaling pathway,1/131,0.134674710415807,0.251837773245223,EP300,14.576232777739394
Reactome_2022,Signaling By NTRKs R-HSA-166520,1/132,0.1356328425930021,0.1815393431629413,EP300,14.413090019979574
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),1/135,0.1385011668400985,0.1572175407374091,PRKN,13.940702854507965
Reactome_2022,Generic Transcription Pathway R-HSA-212436,3/1190,0.1397915803074601,0.1856773662099088,PIDD1;FANCD2;EP300,4.9181778809788215
GO_Biological_Process_2023,Negative Regulation Of Cellular Biosynthetic Process (GO:0031327),1/137,0.1404083330010567,0.1589052391449085,EP300,13.639293794381585
GO_Cellular_Component_2023,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),3/1195,0.1410688352955855,0.2317559436998904,PIDD1;FANCD2;UVSSA,4.873611586481757
KEGG_2021_Human,Ubiquitin mediated proteolysis,1/140,0.1432615275311785,0.251837773245223,PRKN,13.206177686801745
GO_Biological_Process_2023,Negative Regulation Of Wnt Signaling Pathway (GO:0030178),1/140,0.1432615275311785,0.1616503206172701,PRKN,13.206177686801745
GO_Molecular_Function_2023,G Protein-Coupled Receptor Binding (GO:0001664),1/140,0.1432615275311785,0.193954068042211,PRKN,13.206177686801745
Reactome_2022,C-type Lectin Receptors (CLRs) R-HSA-5621481,1/141,0.1442105818509113,0.1900957669852922,EP300,13.066633878994942
KEGG_2021_Human,Apoptosis,1/142,0.145158632579542,0.251837773245223,PIDD1,12.929410352051812
GO_Molecular_Function_2023,Cysteine-Type Peptidase Activity (GO:0008234),1/144,0.1470517273516647,0.1960689698022196,USP45,12.661710673988171
GO_Biological_Process_2023,Negative Regulation Of Response To External Stimulus (GO:0032102),1/146,0.148940819941874,0.1675584224346082,TREX1,12.402667398898828
GO_Biological_Process_2023,Defense Response To Symbiont (GO:0140546),1/148,0.1508259183728456,0.1691756591837853,SAMHD1,12.151893106042852
GO_Biological_Process_2023,Negative Regulation Of Protein Phosphorylation (GO:0001933),1/149,0.1517669723036076,0.1697275607419044,PRKN,12.029491858773522
GO_Biological_Process_2023,Neuron Development (GO:0048666),1/150,0.1527070307118959,0.1702750961920255,MYT1L,11.909022526412445
Reactome_2022,Vesicle-mediated Transport R-HSA-5653656,2/637,0.1542422230539742,0.2017905775292595,CUX1;MASP1,5.6939426638156645
KEGG_2021_Human,Phagosome,1/152,0.1545841649920832,0.251837773245223,MBL2,11.673711008372909
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),4/1922,0.1550393765170475,0.1723673068336587,CUX1;MYT1L;EP300;ADNP,3.90049997800815
Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,1/157,0.1592596491574684,0.2067998429358171,EP300,11.11641112633257
GO_Biological_Process_2023,Mitochondrion Organization (GO:0007005),1/162,0.1639104452195363,0.1816954495395447,PRKN,10.599750873625512
KEGG_2021_Human,Hepatitis B,1/162,0.1639104452195363,0.251837773245223,EP300,10.599750873625512
KEGG_2021_Human,JAK-STAT signaling pathway,1/162,0.1639104452195363,0.251837773245223,EP300,10.599750873625512
KEGG_2021_Human,Wnt signaling pathway,1/166,0.1676133900791551,0.251837773245223,EP300,10.212959370400489
Reactome_2022,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,1/168,0.1694589869820146,0.2184138054434856,EP300,10.027768646002835
GO_Biological_Process_2023,Double-Strand Break Repair (GO:0006302),1/168,0.1694589869820146,0.1872967750853846,SAMHD1,10.027768646002835
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,3/1312,0.172099861003315,0.2201865868718883,PIDD1;FANCD2;EP300,3.9626239087274833
KEGG_2021_Human,Protein processing in endoplasmic reticulum,1/171,0.1722200600650158,0.251837773245223,PRKN,9.75964129868906
GO_Biological_Process_2023,Generation Of Neurons (GO:0048699),1/172,0.1731384691060908,0.1908056598312021,MYT1L,9.672741583882276
KEGG_2021_Human,Influenza A,1/172,0.1731384691060908,0.251837773245223,EP300,9.672741583882276
GO_Biological_Process_2023,Neuron Differentiation (GO:0030182),1/173,0.1740559054451772,0.191259105401968,MYT1L,9.587040210264009
Reactome_2022,SUMOylation R-HSA-2990846,1/174,0.1749723700777881,0.2222276817046359,EP300,9.502514244791406
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),1/174,0.1749723700777881,0.191708857650446,EP300,9.502514244791406
GO_Cellular_Component_2023,cullin-RING Ubiquitin Ligase Complex (GO:0031461),1/174,0.1749723700777881,0.2682909674526084,PRKN,9.502514244791406
GO_Biological_Process_2023,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),1/175,0.1758878639878741,0.1921549496746139,PRKN,9.4191413186893
KEGG_2021_Human,Tuberculosis,1/180,0.1804508067861632,0.2547540801687011,EP300,9.018826769418473
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),2/705,0.18087560229775,0.1970345177767997,PRKN;PIDD1,4.688364808463667
Reactome_2022,Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442,1/181,0.1813604968161002,0.2254854558109113,CUX1,8.94193185824079
Reactome_2022,Cellular Response To Chemical Stress R-HSA-9711123,1/182,0.1822692229713458,0.2254854558109113,EP300,8.866047844643044
Reactome_2022,G2/M Transition R-HSA-69275,1/182,0.1822692229713458,0.2254854558109113,EP300,8.866047844643044
Reactome_2022,Metabolism R-HSA-1430728,4/2049,0.1827209728122902,0.2254854558109113,EP300;PARP14;SAMHD1;DUOX2,3.3124068726459055
GO_Molecular_Function_2023,Actin Binding (GO:0003779),1/183,0.1831769862099994,0.2405906684549246,PRKN,8.791156309308382
Reactome_2022,Mitotic G2-G2/M Phases R-HSA-453274,1/184,0.1840837874718076,0.2255674578879896,EP300,8.717239264525878
Reactome_2022,Metabolism Of Vitamins And Cofactors R-HSA-196854,1/186,0.18589450807538,0.2261933175182945,PARP14,8.572258770685147
Reactome_2022,ESR-mediated Signaling R-HSA-8939211,1/188,0.1877013924825559,0.226805849249755,EP300,8.430970620202137
KEGG_2021_Human,Chemokine signaling pathway,1/192,0.1913036837683771,0.2562691614068592,CCR9,8.158958784415127
GO_Biological_Process_2023,Modification-Dependent Protein Catabolic Process (GO:0019941),1/192,0.1913036837683771,0.2077953806449613,PRKN,8.158958784415127
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.1922018710551443,0.2562691614068592,EP300,8.093068009653642
GO_Biological_Process_2023,Regulation Of Programmed Cell Death (GO:0043067),1/195,0.1939953897404145,0.2101153504924834,PRKN,7.9637198766521875
GO_Biological_Process_2023,Positive Regulation Of Protein Metabolic Process (GO:0051247),1/196,0.1948907230636677,0.2104819809087612,PRKN,7.900234874196451
Reactome_2022,Peptide Ligand-Binding Receptors R-HSA-375276,1/196,0.1948907230636677,0.2338688676764013,CCR9,7.900234874196451
Reactome_2022,TCF Dependent Signaling In Response To WNT R-HSA-201681,1/198,0.1966785424615375,0.2343977149884077,EP300,7.77557614353097
GO_Molecular_Function_2023,Small GTPase Binding (GO:0031267),1/199,0.1975710304615086,0.2556801570678346,STK19,7.714376542410185
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),1/199,0.1975710304615086,0.2127688020354707,MBL2,7.714376542410185
MSigDB_Hallmark_2020,KRAS Signaling Dn,1/200,0.1984625719282345,0.1984625719282345,PRKN,7.653913334056085
MSigDB_Hallmark_2020,p53 Pathway,1/200,0.1984625719282345,0.1984625719282345,PIDD1,7.653913334056085
MSigDB_Hallmark_2020,Xenobiotic Metabolism,1/200,0.1984625719282345,0.1984625719282345,MBL2,7.653913334056085
MSigDB_Hallmark_2020,Allograft Rejection,1/200,0.1984625719282345,0.1984625719282345,MBL2,7.653913334056085
MSigDB_Hallmark_2020,G2-M Checkpoint,1/200,0.1984625719282345,0.1984625719282345,RAD54L,7.653913334056085
Reactome_2022,Interferon Signaling R-HSA-913531,1/200,0.1984625719282345,0.2349148810579102,SAMHD1,7.653913334056085
KEGG_2021_Human,Viral carcinogenesis,1/203,0.2011315266869379,0.2582679423511266,EP300,7.476820865614278
Reactome_2022,Signaling By NOTCH R-HSA-157118,1/203,0.2011315266869379,0.2359151458721644,EP300,7.476820865614278
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),1/204,0.2020192915801868,0.2169411710719051,MBL2,7.419183309087755
Reactome_2022,Transcriptional Regulation By RUNX1 R-HSA-8878171,1/204,0.2020192915801868,0.2359151458721644,EP300,7.419183309087755
GO_Cellular_Component_2023,Late Endosome (GO:0005770),1/205,0.2029061147063144,0.2696866670569591,MBL2,7.362223443639087
GO_Biological_Process_2023,Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),1/207,0.2046769395390712,0.2191724735007618,PRKN,7.250292980456494
GO_Cellular_Component_2023,Nucleolus (GO:0005730),2/771,0.2074021508201112,0.2696866670569591,PIDD1;FANCD2,3.9294660113304865
KEGG_2021_Human,Human immunodeficiency virus 1 infection,1/212,0.2090875872916393,0.2582679423511266,SAMHD1,6.981583223318302
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,3/1449,0.2108283749647874,0.2445609149591534,PIDD1;FANCD2;EP300,3.150138213075439
GO_Cellular_Component_2023,Nuclear Lumen (GO:0031981),2/780,0.2110591307402289,0.2696866670569591,PIDD1;FANCD2,3.8390546697157744
KEGG_2021_Human,cAMP signaling pathway,1/216,0.2125992846937246,0.2582679423511266,EP300,6.77740099862115
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,1/219,0.2152232852926055,0.2582679423511266,EP300,6.630171701499756
GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),1/220,0.2160960957179483,0.2307466784784871,PRKN,6.582174803444699
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),1/221,0.2169679795081989,0.2310250598707019,DUOX2,6.534704024656884
GO_Molecular_Function_2023,GTPase Binding (GO:0051020),1/225,0.2204462670128753,0.2803998040821595,STK19,6.349925403096257
GO_Biological_Process_2023,Protein Polyubiquitination (GO:0000209),1/226,0.2213135316396514,0.2349902105612029,PRKN,6.304969006548125
GO_Molecular_Function_2023,RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),1/228,0.2230452987017177,0.2803998040821595,EP300,6.216491122475225
GO_Biological_Process_2023,Positive Regulation Of Developmental Process (GO:0051094),1/233,0.2273586471062598,0.2407326851713339,PRKN,6.003345598201084
Reactome_2022,Chromatin Modifying Enzymes R-HSA-3247509,1/238,0.2316491321720215,0.2669334370723956,EP300,5.8010513627178115
GO_Molecular_Function_2023,Ubiquitin-Like Protein Transferase Activity (GO:0019787),1/240,0.2333589503503213,0.2883428402971638,PRKN,5.723002134593974
GO_Molecular_Function_2023,"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)",1/243,0.2359168693340431,0.2883428402971638,MYT1L,5.608860071777013
GO_Biological_Process_2023,Positive Regulation Of Programmed Cell Death (GO:0043068),1/245,0.2376176205267373,0.2508923479304656,PIDD1,5.534657310999586
KEGG_2021_Human,Parkinson disease,1/249,0.2410082884360262,0.2821560449982745,PRKN,5.390608605414759
GO_Biological_Process_2023,Cytokine-Mediated Signaling Pathway (GO:0019221),1/257,0.2477464903660237,0.2608584216110222,DUOX2,5.11887617940145
Reactome_2022,Signaling By Nuclear Receptors R-HSA-9006931,1/260,0.2502585638135168,0.2864801980496837,EP300,5.022238383315064
GO_Biological_Process_2023,Regulation Of Protein Phosphorylation (GO:0001932),1/265,0.2544275677544029,0.2671489461421231,PRKN,4.867121647156344
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Process (GO:0043065),1/270,0.2585744376077444,0.2707510731737601,PIDD1,4.719036108826175
GO_Molecular_Function_2023,Ubiquitin Protein Ligase Binding (GO:0031625),1/271,0.2594011654090503,0.3127027747396771,PRKN,4.690224245112372
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),1/273,0.2610519818471645,0.2725901909895807,MBL2,4.633379209148949
GO_Molecular_Function_2023,DNA-binding Transcription Factor Binding (GO:0140297),1/282,0.2684372874097823,0.3192227201629843,EP300,4.389810603907595
GO_Molecular_Function_2023,Ubiquitin-Like Protein Ligase Binding (GO:0044389),1/289,0.2741326483336098,0.3216489740447688,PRKN,4.213240583907427
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),2/938,0.2761496501359812,0.2875607927035837,PRKN;EP300,2.6178932436453497
Reactome_2022,Signaling By WNT R-HSA-195721,1/294,0.2781748238379767,0.3163556820118167,EP300,4.093461038803392
KEGG_2021_Human,Cytokine-cytokine receptor interaction,1/295,0.2789806763903408,0.317417338717839,CCR9,4.070107801114561
KEGG_2021_Human,Huntington disease,1/306,0.2877885641907195,0.317417338717839,EP300,3.8256512656575943
Reactome_2022,Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,1/307,0.2885841683456951,0.3260626317672139,PRKN,3.8045038519563543
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),1/308,0.289378924103386,0.300508882722747,DUOX2,3.7835271992775814
KEGG_2021_Human,MicroRNAs in cancer,1/310,0.2909658938246858,0.317417338717839,EP300,3.7420786944258726
GO_Molecular_Function_2023,Ubiquitin Protein Ligase Activity (GO:0061630),1/311,0.2917581095137865,0.3378251794370159,PRKN,3.7216031661304303
Reactome_2022,G Alpha (I) Signaling Events R-HSA-418594,1/312,0.2925494802457193,0.3284103842758397,CCR9,3.701291045837234
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),1/316,0.2957065306519262,0.3062385440724057,PRKN,3.621641521079423
GO_Molecular_Function_2023,Ubiquitin-Like Protein Ligase Activity (GO:0061659),1/319,0.2980654882520409,0.3389318903176233,PRKN,3.563535616680656
GO_Biological_Process_2023,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),1/319,0.2980654882520409,0.3078074909299201,PRKN,3.563535616680656
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),1/320,0.2988501300827531,0.3078074909299201,MBL2,3.5444688927225654
GO_Molecular_Function_2023,Tubulin Binding (GO:0015631),1/322,0.3004169027815297,0.3389318903176233,PRKN,3.5067787446874603
Reactome_2022,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,1/327,0.304319226935029,0.3394329838890708,CCR9,3.4150676074683326
GO_Biological_Process_2023,Proteolysis (GO:0006508),1/330,0.3066506386486011,0.3149835364379653,MBL2,3.361705757900601
KEGG_2021_Human,Human papillomavirus infection,1/331,0.3074261171713081,0.3279211916493952,EP300,3.3441873862714626
GO_Molecular_Function_2023,Protein Serine/Threonine Kinase Activity (GO:0004674),1/342,0.3159019207124302,0.351890747122707,STK19,3.1599185021694596
GO_Cellular_Component_2023,Mitochondrial Matrix (GO:0005759),1/355,0.3257911414084491,0.3901476916377376,POLG,2.960491247020972
Reactome_2022,Metabolism Of Amino Acids And Derivatives R-HSA-71291,1/364,0.3325574262447908,0.3685668290865834,DUOX2,2.8328730837334963
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),1/364,0.3325574262447908,0.3406685829824686,PRKN,2.8328730837334963
KEGG_2021_Human,Amyotrophic lateral sclerosis,1/364,0.3325574262447908,0.3470164447771729,PRKN,2.8328730837334963
GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),1/367,0.3347984143304693,0.3420372989646417,PRKN,2.792086076040744
GO_Cellular_Component_2023,Collagen-Containing Extracellular Matrix (GO:0062023),1/373,0.3392588622936849,0.3901476916377376,LGALS4,2.7129962053839023
Reactome_2022,Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,1/378,0.3429540794598328,0.3776836064937399,PRKN,2.649511313483797
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),1/381,0.3451617322836497,0.3516742177984356,PIDD1,2.6124334954899457
GO_Molecular_Function_2023,Ubiquitin-Protein Transferase Activity (GO:0004842),1/412,0.3675633974141809,0.404319737155599,PRKN,2.2690090552993674
GO_Biological_Process_2023,Organelle Organization (GO:0006996),1/418,0.3718138586790722,0.3778108563997024,PRKN,2.209993000972616
GO_Biological_Process_2023,Phosphorylation (GO:0016310),1/429,0.3795356487512117,0.3846232579838017,STK19,2.1072732500436424
GO_Molecular_Function_2023,RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),2/1225,0.3937772312254776,0.4278073623190374,CUX1;ADNP,1.4291983716492989
Reactome_2022,GPCR Ligand Binding R-HSA-500792,1/458,0.3994612014287175,0.4371462204314267,CCR9,1.8665441095711828
GO_Molecular_Function_2023,Kinase Binding (GO:0019900),1/460,0.4008126220589368,0.4301403748925176,PRKN,1.8513813772826897
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),2/1243,0.400958669475866,0.4052469974916507,PRKN;EP300,1.3798297095454406
KEGG_2021_Human,Pathways of neurodegeneration,1/475,0.4108561451725376,0.4195977652825916,PRKN,1.742921913783327
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,1/496,0.4246474517786001,0.4618041038092276,EP300,1.605301699778943
GO_Biological_Process_2023,Protein Phosphorylation (GO:0006468),1/500,0.4272391872430459,0.4306571007409903,STK19,1.5807959760459909
GO_Molecular_Function_2023,Protein Kinase Binding (GO:0019901),1/511,0.4343091234805029,0.4604723236901717,PRKN,1.5159932139281345
Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",1/523,0.4419267547155502,0.4776102814938244,EP300,1.4493692781941463
KEGG_2021_Human,Pathways in cancer,1/531,0.446950669378748,0.446950669378748,EP300,1.4071528755005496
Reactome_2022,Post-translational Protein Modification R-HSA-597592,2/1383,0.4555566021812737,0.4893015356761829,PRKN;EP300,1.0587703105438937
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),1/557,0.4629819487226987,0.4654446186627131,EP300,1.280939141541022
GO_Cellular_Component_2023,Neuron Projection (GO:0043005),1/557,0.4629819487226987,0.5070754676486702,PRKN,1.280939141541022
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),1/594,0.4850327659837999,0.4863193250447649,DUOX2,1.12629890391961
Reactome_2022,Membrane Trafficking R-HSA-199991,1/599,0.4879454627836606,0.5208742976954415,CUX1,1.107353934145827
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,1/619,0.4994397602305012,0.5298934041469953,CCR9,1.0356783835408734
GO_Molecular_Function_2023,Double-Stranded DNA Binding (GO:0003690),1/650,0.5167705233836423,0.5413786435447682,CUX1,0.9362508164841652
Reactome_2022,Cell Cycle R-HSA-1640170,1/654,0.5189645756865048,0.5472717343603141,EP300,0.924352606713922
GO_Molecular_Function_2023,Protein Homodimerization Activity (GO:0042803),1/662,0.5233241864779593,0.5417944518830639,MASP1,0.9011457004396526
Reactome_2022,Signaling By GPCR R-HSA-372790,1/689,0.537761127332115,0.5636773262396868,CCR9,0.8282374302285426
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,1/702,0.5445624651716493,0.5673884367656705,SAMHD1,0.7958720774779756
GO_Biological_Process_2023,Protein Modification Process (GO:0036211),1/711,0.5492150100649497,0.5492150100649497,STK19,0.7744227573808717
GO_Molecular_Function_2023,Sequence-Specific Double-Stranded DNA Binding (GO:1990837),1/715,0.5512682133074926,0.5586396421208394,CUX1,0.7651302767026505
GO_Molecular_Function_2023,Sequence-Specific DNA Binding (GO:0043565),1/717,0.5522914643694662,0.5586396421208394,CUX1,0.760538159915582
Reactome_2022,Cellular Responses To Stress R-HSA-2262752,1/722,0.554839856733576,0.5717598304859315,EP300,0.7492128512834758
Reactome_2022,Metabolism Of Lipids R-HSA-556833,1/732,0.5598951633372227,0.5717598304859315,EP300,0.7272080069121141
Reactome_2022,Adaptive Immune System R-HSA-1280218,1/733,0.5603976691353507,0.5717598304859315,PRKN,0.7250536412925842
Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,1/736,0.5619019023741051,0.5717598304859315,EP300,0.7186397092833158
GO_Cellular_Component_2023,Endoplasmic Reticulum Membrane (GO:0005789),1/801,0.5933124546689478,0.6182002610166675,TREX1,0.5959267996054752
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),1/856,0.6182002610166675,0.6182002610166675,POLG,0.5122288878830823
Reactome_2022,Metabolism Of Proteins R-HSA-392499,2/1890,0.6290139555659094,0.6363280713283037,PRKN;EP300,0.4442032418612409
Reactome_2022,Developmental Biology R-HSA-1266738,1/1073,0.7029318870731854,0.7069950771718744,EP300,0.296032150806796
Reactome_2022,Signal Transduction R-HSA-162582,2/2465,0.7735542833576743,0.7735542833576743,CCR9;EP300,0.1825879602628676
GO_Molecular_Function_2023,RNA Binding (GO:0003723),1/1411,0.800200690156034,0.800200690156034,SAMHD1,0.1397727803594914
