gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
KLF15,144,1042,0.0013046654089867,0.037719344355308354,-0.20921601267744078,-0.38367032156427294,-0.03476170379060864,62700.0,0.0013801095156063578,0.11990657718482721,False
DNM1,144,1042,-0.19496465984682843,-0.16858941708244485,-0.20908393041996678,-0.38353798285697294,-0.03462987798296066,67127.0,0.04039625126947091,0.39345202689455894,False
TMEM250,144,1042,0.03925899814762475,0.0706336249541979,-0.20904404606660404,-0.38349802109623915,-0.03459007103696893,66584.0,0.028479365766542003,0.3478634247683002,False
SORT1,144,1042,-0.12572420472904916,-0.1028824969239851,-0.20904166040893798,-0.38349563080896654,-0.034587690008909405,67084.0,0.039318743611407164,0.3884431910171581,False
POSTN,144,1042,-0.0008740565963174,0.00829947058211875,-0.20899592371363054,-0.3834498053672346,-0.03454204206002651,66742.0,0.03158627641993197,0.3615157560399005,False
TMEM38A,144,1042,-0.1523317842490669,-0.13199768837248588,-0.20875662324635016,-0.383210040882737,-0.03430320560996333,66122.0,0.02085831703798528,0.30719938168389177,False
RPL10,144,1042,-1.1933331361772956,-1.1460221140674958,-0.2085675810182657,-0.38302063246600454,-0.03411452957052685,66745.0,0.03164797544773124,0.36168250334816376,False
MYH15,144,1042,0.06297237760791424,0.08507970973865456,-0.20853121817513046,-0.38298419922333427,-0.034078237126926675,67528.0,0.05170431017950333,0.4206488138968576,False
OR8U1,123,944,-0.0136351932866784,0.014664680706077751,-0.20852312197981468,-0.39661614996605876,-0.02043009399357057,49975.0,0.011948920353181921,0.2500071071795858,False
PRMT6,144,1042,-0.07515933261210545,-0.0742252381371195,-0.20850878826352223,-0.38296172589286354,-0.03405585063418093,69353.0,0.14105410118196576,0.5774523032634311,False
UTP3,144,1042,-0.7852832551445168,-0.7434598686903767,-0.20847094404758304,-0.3829238084302748,-0.03401807966489129,65859.0,0.017368837948112267,0.2833854715628763,False
RAD23A,144,1042,-0.1592172430371081,-0.1306885574170664,-0.20826976763989807,-0.382722242872747,-0.03381729240704917,65670.0,0.015188048391620683,0.2720648308792712,False
KLC3,144,1042,-0.12067418694028835,-0.1093555881777773,-0.20821574173977983,-0.38266811253033456,-0.0337633709492251,67197.0,0.04220386299032634,0.3988835485869036,False
KRT40,144,1042,0.022656808762537152,0.0385286389036665,-0.20817020607224218,-0.38262248885472483,-0.03371792328975956,65609.0,0.01453761621001837,0.26632889843740587,False
SHC4,144,1042,-0.09205777598592195,-0.07689834473569035,-0.20814093520955534,-0.3825931614295543,-0.03368870898955639,68177.0,0.07554714122852156,0.4706865147215497,False
TSPYL2,144,1042,0.03107034497035455,0.03694529488271135,-0.20812310599690828,-0.38257529776794924,-0.03367091422586732,68359.0,0.08365046970252141,0.48841959369453314,False
PACSIN1,144,1042,0.0059323197094294,0.02498245079193085,-0.2080843927978397,-0.3825365097787786,-0.033632275816900786,66200.0,0.022004336625327716,0.31165857822176246,False
NIFK,144,1042,-1.7786537722015687,-1.7230837794722311,-0.20807344093251037,-0.3825255367580389,-0.03362134510698181,66292.0,0.0234261199553515,0.31918978489316696,False
HYCC1,144,1042,0.0199948242700618,0.04292949890413155,-0.20804463917873334,-0.3824966793740263,-0.03359259898344033,65177.0,0.010593471655970573,0.23863258827036224,False
AVPR1B,144,1042,-0.08958562561355575,-0.0696676082472987,-0.20774381628916927,-0.38219527590793023,-0.03329235667040831,66384.0,0.024926970192747235,0.32913512704429354,False
