gene,n_kinase,n_helical,median_kinase,median_helical,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,pathway,fdr,significant
TARBP1,38,46,0.00628720971390365,0.0032483383096334503,-0.034748458705349594,-0.46443276773371633,0.39493585032301715,876.0,0.9892445493139013,,0.9993883606821546,False
SHD,38,46,-0.0365082070087576,-0.05144651333256095,-0.034728910842469096,-0.46441318373400353,0.39495536204906534,918.0,0.6958485101603995,,0.9857463687062569,False
BCL2L15,38,46,-0.07852651630230575,-0.038747284480994695,-0.03470162673061648,-0.4643858492178239,0.3949825957565909,791.0,0.45843872069234615,,0.9772069306626793,False
SENP7,38,46,-0.02862670503295435,-0.0356497188036878,-0.034663043402546556,-0.4643471946790065,0.39502110787391337,877.0,0.9820752139634195,,0.9989556762864802,False
AMTN,38,46,0.06557677311587325,0.051349928729261904,-0.034658143036686934,-0.46434228527452814,0.3950259992011542,925.0,0.6499447031021359,,0.9857463687062569,False
LGALS2,38,46,-0.0087416296706045,0.01010948771146155,-0.034531117667340724,-0.4642150260554625,0.395152790720781,856.0,0.8750313182795834,,0.9946716700454123,False
ZNF512B,38,46,-0.00332813380473125,-0.00836808360361925,-0.0344852292754258,-0.4641690533955518,0.3951985948447002,877.0,0.9820752139634195,,0.9989556762864802,False
FGF4,38,46,0.0452542422850312,0.05530789785125055,-0.03447923228814484,-0.46416304540387043,0.3952045808275808,818.0,0.617938911467901,,0.9857463687062569,False
IDS,38,46,-0.018078430867064548,-0.00702429409149155,-0.034474176359049265,-0.46415798019869176,0.39520962748059324,817.0,0.6116213298201372,,0.9857463687062569,False
THAP10,38,46,-0.00788395020280375,-0.00528006918875735,-0.034432639084343165,-0.46411636676728224,0.39525108859859587,882.0,0.9462618097357209,,0.9965456408463602,False
PPBP,38,46,0.09077708849061744,0.07415145797029399,-0.03437897884697999,-0.4640626082822159,0.3953046505882559,893.0,0.86795403081937,,0.9946716700454123,False
AGPAT2,38,46,-0.03512764113149075,-0.08590994919418575,-0.03437182667149788,-0.4640554430232303,0.3953117896802345,942.0,0.5441054477056926,,0.9857463687062569,False
SEZ6,38,46,-0.1459737962100013,-0.1561515948245233,-0.03436607405275683,-0.46404967988317547,0.3953175317776618,840.0,0.763367581468281,,0.9880851875628202,False
TXNL1,38,46,-0.08976687279504185,-0.10285235745838894,-0.034359420311019614,-0.46404301397420206,0.3953241733521628,859.0,0.8963210016859144,,0.9954742571217177,False
AZIN2,38,46,-0.032893130335068646,-0.005747173077188051,-0.034340583603745534,-0.4640241428343213,0.39534297562683024,775.0,0.37604297858584157,,0.9704557896201754,False
ZNF394,38,46,-0.1090141981415676,-0.13784181214189106,-0.03433555018995173,-0.46401910022288245,0.395347999842979,854.0,0.8608873098827359,,0.9946243784476377,False
TMEM259,38,46,-0.02532712945701395,-0.00928603479097025,-0.03432606290626463,-0.46400959560658095,0.39535746979405173,821.0,0.6370603900227195,,0.9857463687062569,False
ANAPC15,38,46,-0.6780529323381774,-0.6445266536606055,-0.03428616818280656,-0.4639696280506205,0.39539729168500737,831.0,0.7025031087711013,,0.9857463687062569,False
CD5L,38,46,-0.1023423327689921,-0.12318110109621214,-0.03427237308126533,-0.4639558077842058,0.3954110616216751,908.0,0.763367581468281,,0.9880851875628202,False
CELSR3,38,46,-0.09377967436812235,-0.0849983158261005,-0.0342272259363851,-0.4639105783531922,0.395456126480422,843.0,0.7840071676575825,,0.9900429366628484,False
RAB38,38,46,0.06315545963336185,0.0516314125930378,-0.034162366419383965,-0.4638456008116931,0.3955208679729252,897.0,0.8397560736083229,,0.9933109842800927,False
SLC7A14,38,46,0.046428160731517204,0.046863019213794946,-0.034099836908692914,-0.46378295772831896,0.39558328391093317,857.0,0.8821186156411883,,0.9946716700454123,False
IGFL1,38,46,0.29925026123007803,0.28959972317493066,-0.03409179370467094,-0.46377489993048393,0.395591312521142,877.0,0.9820752139634195,,0.9989556762864802,False
DCP2,38,46,-0.1848640933265301,-0.19016922757903543,-0.03409061991951162,-0.463773724015864,0.39559248417684073,846.0,0.8047998351903228,,0.9900429366628484,False
MED4,38,46,-1.2152630024117537,-1.2756969223980437,-0.034086231334368486,-0.4637693274696755,0.3955968648009385,931.0,0.6116213298201372,,0.9857463687062569,False
KIRREL2,38,46,0.011787157038018949,0.02830465377271105,-0.03402711222794548,-0.46371010121903167,0.39565587676314073,866.0,0.9462618097357209,,0.9965456408463602,False
CSTL1,38,46,0.0034971749150283,0.0307491289094347,-0.03401859258706993,-0.4637015661529577,0.3956643809788179,824.0,0.656426640488576,,0.9857463687062569,False
IER3IP1,38,46,-0.24213550151186208,-0.2971957652549396,-0.03399320212447393,-0.4636761297426771,0.3956897254937292,894.0,0.8608873098827359,,0.9946243784476377,False
AHRR,38,46,-0.10088680745358869,-0.0816233051937047,-0.03396025629198755,-0.46364312434111155,0.3957226117571364,850.0,0.832737132310658,,0.9933109842800927,False
FAR1,38,46,-0.012984156986612351,-0.0002571069970603,-0.03393369199570426,-0.46361651205620713,0.39574912806479867,845.0,0.7978527999750329,,0.9900429366628484,False
PPP2R3A,38,46,0.0195437403429757,-0.010388476967137749,-0.033925375233675434,-0.4636081802775966,0.3957574298102457,941.0,0.550087116666858,,0.9857463687062569,False
CFAP418,38,46,-0.00957675744358665,-0.0090992948688897,-0.03386536146456924,-0.46354805825790807,0.39581733532876956,854.0,0.8608873098827359,,0.9946243784476377,False
U2AF2,38,46,-1.3701739943377318,-1.4324295010315182,-0.0338562249082899,-0.46353890523825997,0.3958264554216802,885.0,0.9248211505744677,,0.9965456408463602,False
RINT1,38,46,-0.8027181870671414,-0.7836388611978963,-0.03384079807351622,-0.4635234506156028,0.3958418544685704,809.0,0.5621467782269598,,0.9857463687062569,False
CDH5,38,46,-0.15403235042649185,-0.15032890302003984,-0.03382986919473091,-0.463512502058627,0.39585276366916516,900.0,0.8187397161818788,,0.9902078679925312,False
MARCHF7,30,40,-0.016821018721044998,-0.0240863085264892,-0.033824330281611706,-0.5072337624027458,0.4395851018395224,602.0,0.9857970287291417,,0.9993883606821546,False
