gene,n_kinase,n_helical,median_kinase,median_helical,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,pathway,fdr,significant
C11orf68,7,8,-0.189463779531085,-0.15509532077393423,-0.4597149919802078,-1.4873451339912327,0.5679151500308172,22.0,0.5358197358197359,,0.9795093156244236,False
RBPJL,7,8,-0.1482898604381599,-0.11535607993200475,-0.4595598158811358,-1.4871810703808976,0.568061438618626,21.0,0.46340326340326343,,0.9723432636727435,False
BDKRB1,7,8,0.1589935046553555,0.19382752774072498,-0.45954680306428347,-1.487167312404581,0.568073706276014,21.0,0.46340326340326343,,0.9723432636727435,False
GABRQ,7,8,0.0473906291103788,0.0845418675606613,-0.45952455480510485,-1.4871437901797926,0.568094680569583,17.0,0.23185703185703188,,0.9495834735530798,False
NPS,7,8,0.094970322454108,0.1624586349602514,-0.4594499138034076,-1.4870648755717586,0.5681650479649434,21.0,0.46340326340326343,,0.9723432636727435,False
GTF3C6,7,8,-0.3976737666642476,-0.26920990722505383,-0.45944383802268085,-1.487058451949066,0.5681707759037042,22.0,0.5358197358197359,,0.9795093156244236,False
ELMOD3,7,8,-0.1478118219843754,-0.21291353223376763,-0.4593795015890516,-1.4869904324923648,0.5682314293142616,25.0,0.778865578865579,,0.9926685333392127,False
PFDN6,7,8,-1.6748898916627226,-1.3808813412526704,-0.4593374562007462,-1.4869459804325025,0.5682710680310101,24.0,0.6943278943278944,,0.9926685333392127,False
RAB9B,7,8,0.0846808181140637,0.0928986034736532,-0.45928580837338284,-1.4868913765852276,0.568319759838462,24.0,0.6943278943278944,,0.9926685333392127,False
TRIM14,7,8,-0.1961279398153713,-0.1307478063378866,-0.4592639237512958,-1.4868682395129196,0.5683403920103278,20.0,0.39689199689199695,,0.9686495538855584,False
TUBA3C,7,8,-0.2559504097173966,-0.0916680895703594,-0.45914240683211494,-1.4867397692755988,0.5684549556113688,21.0,0.46340326340326343,,0.9723432636727435,False
PIP5K1A,7,8,-0.4154929043672746,-0.2630168902702,-0.45907318924152246,-1.4866665917876352,0.5685202133045901,21.0,0.46340326340326343,,0.9723432636727435,False
SYT6,7,8,-0.050556504939931,-0.0446472318614879,-0.4588612396676608,-1.4864425203222615,0.56872004098694,23.0,0.6125874125874127,,0.9874120804433447,False
CSF2RB,7,8,-0.1012458358976532,-0.0821937974568204,-0.45856677560880704,-1.486131224229536,0.568997673011922,22.0,0.5358197358197359,,0.9795093156244236,False
