gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
STARD4,6,65,-0.0039152086372657,-0.0241074836786506,0.5362339482471442,-0.304671142757005,1.3771390392512934,240.0,0.3667489255388526,0.9427657739028807,False
ARHGAP11A,6,65,-0.3861615251757591,-0.3395712021600091,0.5364712360736908,-0.3044379492868302,1.377380421434212,221.0,0.6066657957859349,0.9782554708838295,False
KRTAP5-2,6,65,0.1897620406257392,0.1068898488244382,0.5365488472021348,-0.3043616777124565,1.377459372116726,253.0,0.24126567174233643,0.9266143894643047,False
RHEB,6,65,-0.39177681905125517,-0.5209055017435908,0.5365716715232447,-0.304339247371477,1.3774825904179664,253.0,0.24126567174233643,0.9266143894643047,False
HEY2,6,65,0.032265393748667104,0.0332369513406458,0.5366423890030555,-0.3042697506808256,1.3775545286869366,220.0,0.6209061550555874,0.9812899301420542,False
KRT81,5,54,-0.0899397000436237,-0.08543221232157365,0.5367058843341043,-0.38460154886378317,1.4580133175319916,154.0,0.6246913442151684,0.9814229270834548,False
GPR183,6,65,0.11885446467246319,0.0910968682896528,0.5367704750738537,-0.3041438761528228,1.3776848263005301,240.0,0.3667489255388526,0.9427657739028807,False
POGLUT1,6,65,-0.01798585408984875,-0.08767057819099,0.5367752899311078,-0.3041391444394005,1.3776897243016162,255.0,0.2248920480166183,0.9218552583598923,False
CDH13,6,65,0.11922386102811366,0.0827467434879984,0.5368139079249298,-0.30410119333480934,1.377729009184669,235.0,0.4237214226025976,0.9575104571241781,False
RAVER1,6,65,0.010809209760724149,-0.0082662693077654,0.5368260600694701,-0.30408925105392437,1.3777413711928646,237.0,0.40036739818297434,0.9537817498101234,False
SGO2,6,65,-0.09787350946644,-0.1885746238666068,0.5369201868407074,-0.3039967499811034,1.3778371236625182,250.0,0.2672848453577029,0.9290234410860012,False
ACTG2,6,65,0.04747120267140195,0.0337708120744426,0.5371219982217302,-0.30379842510944344,1.378042421552904,226.0,0.5376535832372352,0.9697616365770043,False
CDCA5,6,65,-0.8797927799660503,-1.08853414781653,0.5372598121609482,-0.30366299279928266,1.378182617121179,263.0,0.16698475877491648,0.89754938639186,False
SLC4A1AP,6,65,-0.0726677284559139,-0.2394659551540813,0.5374185746656235,-0.30350697469491683,1.3783441240261638,261.0,0.18034658935159856,0.9107451556523374,False
NPAS3,6,65,-0.03684141122661895,-0.1085451074564039,0.5375345579385982,-0.3033929968388228,1.378462112716019,258.0,0.20177148424281338,0.9187679515470248,False
TSC22D1,6,65,0.03854649748552555,-0.0246212067544758,0.5375364564365307,-0.30339113117056127,1.3784640440436227,272.0,0.1155087112429825,0.885533594037796,False
FNDC8,6,65,0.0408679429477769,-0.0733471526242931,0.5375888100911624,-0.30333968288380364,1.3785173030661286,266.0,0.14828635968891252,0.89754938639186,False
CERK,6,65,-0.11333683372947,-0.1680311903986432,0.5376475403748038,-0.30328196834482346,1.3785770490944311,253.0,0.24126567174233643,0.9266143894643047,False
CES2,6,65,-0.0077459546020198,-0.0631174783370727,0.5377308578004044,-0.3032000920886089,1.3786618076894177,263.0,0.16698475877491648,0.89754938639186,False
TMEM53,6,65,-0.1444226353813876,-0.1723894621330846,0.5380971589204464,-0.3028401296213845,1.3790344474622773,241.0,0.3559246353900295,0.9427657739028807,False
ZNF814,6,65,0.053456600623788,0.0532467766521877,0.5381415020773348,-0.30279655408970874,1.3790795582443782,214.0,0.7090476871717281,0.9829522320215787,False
UBQLNL,6,65,0.1394007103041898,0.0501663036758962,0.5381674846781791,-0.30277102130321554,1.3791059906595737,247.0,0.2950665365284393,0.9290234410860012,False
SNORC,6,65,-0.024652730358116,-0.1189978443235268,0.5382462284891989,-0.3026936408470309,1.3791860978254287,257.0,0.20928770770140634,0.9206742076424104,False
