gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
CACTIN,16,12,-1.192157200060627,-1.149403913498082,0.1646263224759047,-0.5850881976091872,0.9143408425609966,102.0,0.7984673891935195,0.9980561807157505,False
ASB5,16,12,0.16186900295821327,0.1256567699417815,0.16465721249947218,-0.5850577729255897,0.9143721979245341,112.0,0.4717901363333026,0.9841364084625839,False
FAM110D,16,12,-0.26317966993991576,-0.23508612746504015,0.16470000271432342,-0.5850156274638253,0.9144156328924721,107.0,0.6259392816271419,0.9913259729589504,False
TKT,16,12,-0.2624215122107117,-0.2814207319617399,0.16474895516241844,-0.5849674128247058,0.9144653231495425,112.0,0.4717901363333026,0.9841364084625839,False
ZCCHC3,16,12,0.0757584524572003,0.0337612823898838,0.16476719575635457,-0.5849494472080223,0.9144838387207315,111.0,0.5008546654285486,0.9853668768916706,False
TDP1,16,12,-0.09565485513367936,-0.11067088641472285,0.1649030054130706,-0.5848156858380713,0.9146216966642124,111.0,0.5008546654285486,0.9853668768916706,False
REEP3,16,12,0.06283784448178374,0.0435115310909351,0.1649124650230922,-0.5848063689609317,0.9146312990071161,109.0,0.5617137219006605,0.9886030997089829,False
KIR2DL4,16,12,0.13993621667096234,0.07156584031408955,0.16492800910995223,-0.5847910594313054,0.9146470776512098,117.0,0.341254928468144,0.9821846946056436,False
OR2B2,14,11,-0.1349617681919067,-0.1815870222294008,0.16499403137245355,-0.6260211188757061,0.9560091816206133,96.0,0.31116503232270365,0.9821846946056436,False
CSN1S1,16,12,0.0643524476431348,0.07961919651636985,0.1650201321973141,-0.5847003269155904,0.9147405913102187,98.0,0.9444835801635669,0.9991190226956232,False
ORC1,16,12,-0.9490170122361642,-0.9994291558013113,0.16502187160472462,-0.5846986137714815,0.9147423569809306,115.0,0.3904282775842992,0.9841364084625839,False
ITLN1,16,12,0.0292697116931161,0.0028089060536631,0.16503015289013576,-0.5846904575289306,0.9147507633092021,106.0,0.659193864409487,0.9929777495131729,False
GRK2,16,12,-0.0872396403877744,-0.1381898152155506,0.16505010294349726,-0.5846708087360957,0.9147710146230903,102.0,0.7984673891935195,0.9980561807157505,False
MT1A,14,11,-0.20123048723846804,-0.2169022549543089,0.1650711800251258,-0.6259452068512154,0.9560875669014669,83.0,0.7633406080536744,0.9980561807157505,False
ZFP36L1,16,12,-0.1848473249048874,-0.4378954068027035,0.16507619792763017,-0.5846451078602647,0.914797503715525,113.0,0.44368030665524805,0.9841364084625839,False
