gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
CARD10,9,63,-0.1616016171140334,-0.0994374199986819,-0.4013277579274778,-1.1028268424335343,0.30017132657857865,210.0,0.21387901850481195,0.8910466265821986,False
ATRN,9,63,-0.0106449620693874,0.0562652421912393,-0.40129364789863403,-1.1027922118461553,0.30020491604888727,223.0,0.3069613142669674,0.9164374502365954,False
SCAF11,9,63,-0.275871572519059,-0.2185474065521094,-0.401164724935529,-1.1026613217655217,0.30033187189446375,230.0,0.36682848106487875,0.9277294067664796,False
TRNT1,9,63,-1.8165174780572224,-1.5720327120279651,-0.40106660903804886,-1.102561709227206,0.3004284911511082,203.0,0.17314786392965598,0.8837786359586284,False
LSM1,9,63,-0.0402066663399138,0.0270194694218268,-0.40100508871755786,-1.1024992506728077,0.3004890732376921,220.0,0.28340581537753196,0.9077795061690828,False
CLK4,9,63,-0.0639725447193793,-0.0121226609493301,-0.4010047457049659,-1.1024989024294005,0.3004894110194687,223.0,0.3069613142669674,0.9164374502365954,False
GAS2,9,63,-0.0483759640693281,0.0215889234124443,-0.40094780844712014,-1.1024410969608676,0.30054548006662735,210.0,0.21387901850481195,0.8910466265821986,False
KERA,9,63,0.0950743521893851,0.0965668903256536,-0.4008840542103101,-1.1023763707093506,0.30060826228873033,216.0,0.25394993115722997,0.9034873443611687,False
PAFAH1B1,9,63,-2.334784661425687,-2.212705870521488,-0.4007728073460391,-1.1022634281116062,0.300717813419528,224.0,0.3150933958164457,0.9176449050486744,False
ARL2BP,9,63,-0.1906990134687694,-0.1316999816269277,-0.4007670154261851,-1.102257547918424,0.3007235170660538,205.0,0.18414356889738925,0.8866483173735463,False
TBX22,9,63,-0.024255749542405,0.0138131154620846,-0.40075712041460637,-1.1022475021021587,0.3007332612729459,202.0,0.1678375677259878,0.8825499785614919,False
