gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
PP2D1,-0.0614,0.13119984703737833,0.0782,0.084,300,886,0.4080248825244619
KCTD17,0.1214,0.13124966386601894,0.0381,0.0218,300,886,0.4080248825244619
WASHC4,0.106,0.13124966386601894,-0.0898,-0.1079,300,886,0.4080248825244619
SNRPC,0.1148,0.13124966386601894,-1.0961,-1.1289,300,886,0.4080248825244619
OBP2A,0.1502,0.13129380492959547,0.1197,0.0923,100,255,0.40809328846351245
SRPRA,0.1082,0.13139920234965083,-0.6062,-0.6329,300,886,0.40821440770404666
ZNF816,-0.0959,0.13139920234965083,-0.0239,-0.0107,300,886,0.40821440770404666
PKN1,-0.0724,0.13139920234965083,-0.0409,-0.031,300,886,0.40821440770404666
SDF2L1,-0.1505,0.1314490778515001,-0.2761,-0.2516,300,886,0.4083005476314076
SLC1A5,0.0976,0.13149896802770217,-0.1876,-0.2063,300,886,0.4083867041089436
BACH1,-0.0708,0.13154887288067618,0.0895,0.1,300,886,0.40840408749667656
SLIT1,-0.1195,0.13154887288067618,-0.0232,-0.0092,300,886,0.40840408749667656
TBCE,-0.102,0.1316487266266162,-0.5432,-0.5216,300,886,0.4086452728340915
SMCR8,-0.0993,0.13174863910866685,-0.1276,-0.1151,300,886,0.40881773471945354
GTSE1,-0.0586,0.13174863910866685,-0.2911,-0.2775,300,886,0.40881773471945354
ZNF442,-0.1033,0.13179861738177787,-0.0932,-0.0803,300,886,0.4088351861741671
APOD,0.1024,0.13179861738177787,-0.0098,-0.0223,300,886,0.4088351861741671
CPNE1,-0.1054,0.13184861034616877,-0.0768,-0.0648,300,886,0.4089214555403131
NLRP6,-0.1007,0.13194864035845597,0.024,0.0436,300,886,0.4091628570240767
KRTAP4-11,0.134,0.13199147620192908,-0.5029,-0.553,299,866,0.40922685230113737
ALDOA,-0.1065,0.1320487291648559,-1.4921,-1.439,300,886,0.4092666984119231
ZZEF1,0.1217,0.1320487291648559,-0.1298,-0.1458,300,886,0.4092666984119231
FAM200B,-0.0819,0.13209879562188617,-0.1355,-0.1208,300,886,0.40928425164528937
AREG,-0.0973,0.13209879562188617,0.0456,0.0583,300,886,0.40928425164528937
CPED1,0.0699,0.13214887678468945,0.0413,0.0334,300,886,0.4093706172955386
DDIT4L,-0.1122,0.1322992085318762,0.0685,0.0809,300,886,0.4097674578772073
TRIM50,0.0996,0.13234934854190827,-0.0925,-0.1062,300,886,0.4098026935490917
IP6K3,-0.0738,0.13239950326977978,-0.1165,-0.1061,300,886,0.4098026935490917
PRND,0.1106,0.13239950326977978,0.0871,0.0764,300,886,0.4098026935490917
PNPLA4,-0.1063,0.13239950326977978,0.1142,0.1254,300,886,0.4098026935490917
IDO1,-0.1143,0.13244967271790276,0.0676,0.0827,300,886,0.4098203619594725
VAT1,-0.1131,0.13244967271790276,-0.1757,-0.1612,300,886,0.4098203619594725
MAGEC1,-0.0786,0.13255512167596614,0.0868,0.0962,299,866,0.41007780971579727
CDK16,-0.1239,0.13265049776113466,-0.0435,-0.0301,300,886,0.4103040144675365
KIAA1549L,-0.1241,0.13270074084668076,0.0818,0.0952,300,886,0.41039056492342896
TPM4,0.0867,0.1327509986669418,-0.295,-0.3099,300,886,0.41047713190625157
BOD1,0.1277,0.1328515585212449,-0.0592,-0.0776,300,886,0.4107191818445664
GPR83,-0.0842,0.13290186056010406,0.1242,0.1344,300,886,0.4108058013791949
PDE3B,-0.0939,0.13300250887327697,0.0322,0.0442,300,886,0.41084136244618985
WTAP,-0.1009,0.13300250887327697,-0.7039,-0.6748,300,886,0.41084136244618985
TSEN34,-0.1072,0.13300250887327697,-0.576,-0.5502,300,886,0.41084136244618985
GLIPR1,-0.0688,0.13300250887327697,-0.0936,-0.0849,300,886,0.41084136244618985
ERICH6B,-0.0823,0.13310321618310406,0.1565,0.1659,300,886,0.41096374818784653
OTOF,0.1044,0.13310321618310406,0.0264,0.0142,300,886,0.41096374818784653
LYPD6B,0.1003,0.1331535919677791,-0.0677,-0.0826,300,886,0.41096374818784653
