gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
HCN4,-0.6181,0.001006120980923959,-0.015,0.0376,34,1152,0.1341184428421173
FBXO16,-0.5333,0.0010097590643960647,0.0193,0.0967,34,1152,0.1341184428421173
DIRAS3,0.5143,0.0010715728934599462,-0.0712,-0.1421,34,1152,0.14128215847522277
TPGS2,-0.5157,0.0010870762087256398,-0.0472,0.0169,34,1152,0.1422800255376602
C19orf44,-0.6627,0.001116705433888025,-0.2048,-0.122,34,1152,0.14509039124998765
WDR45B,0.4962,0.0011247317151161834,0.0459,-0.0201,34,1152,0.14509039124998765
CD37,-0.5477,0.0011409445141910982,-0.1684,-0.1034,34,1152,0.1461305434568613
H4C16,-0.5214,0.0011573731067252755,-0.1576,-0.0934,34,1152,0.14618995995113201
CASTOR1,-0.5093,0.0011594419828280553,-0.1768,-0.1138,34,1152,0.14618995995113201
UBE2B,-0.5148,0.001171927184368033,-0.0209,0.049,34,1152,0.14618995995113201
MRPL53,-0.5863,0.0011740200899538794,-0.8851,-0.7101,34,1152,0.14618995995113201
DPY30,-0.5555,0.0011887674114253184,-0.4989,-0.3693,34,1152,0.1464720950062451
PTDSS1,0.4355,0.0011951399317769813,-0.2057,-0.362,34,1152,0.1464720950062451
MYH15,-0.5962,0.0012101320719393517,0.0114,0.0813,34,1152,0.1464720950062451
PRDM7,-0.689,0.0012166102983006848,-0.0856,0.0124,34,1152,0.1464720950062451
PPP1R10,-0.7165,0.0012187768155100499,-1.4326,-1.2222,34,1152,0.1464720950062451
TANC2,-0.5104,0.0012252977664902551,-0.0323,0.0265,34,1152,0.1464720950062451
ZNF143,0.4961,0.0012362376680430745,-0.2314,-0.336,34,1152,0.14680117632900905
ARID1B,-0.9365,0.0012539292817616329,-0.2803,-0.087,34,1152,0.14765571211825101
EPHB2,0.5467,0.0012606236911327368,0.0768,0.0168,34,1152,0.14765571211825101
FMO1,-0.5302,0.0012718544102824345,-0.2466,-0.1611,34,1152,0.14765571211825101
EFCAB9,0.5661,0.0012763725045077748,0.2092,0.1059,34,1152,0.14765571211825101
USP36,-0.6227,0.0013341127435050955,-1.255,-1.1103,34,1152,0.15167262260933148
DEFB110,0.4605,0.0013364717178224513,0.2119,0.1549,34,1152,0.15167262260933148
SMC2,0.5106,0.0013364717178224513,-1.2704,-1.4332,34,1152,0.15167262260933148
ZC3H7A,0.5234,0.001382029810417529,-0.0144,-0.1058,34,1152,0.155133872375509
IL12RB1,-0.5877,0.0013991723358854422,-0.1967,-0.1223,34,1152,0.155133872375509
RAD23A,-0.5507,0.0014016372113886807,-0.2022,-0.1358,34,1152,0.155133872375509
HTR2C,-0.5664,0.0014115368056687025,-0.0232,0.0297,34,1152,0.155133872375509
SLC25A19,-0.7008,0.0014165107404453749,-0.4035,-0.241,34,1152,0.155133872375509
IFNA1,-0.5349,0.001418880992113294,-0.0951,-0.0326,29,1016,0.155133872375509
HP1BP3,-0.5748,0.0014697214829688006,0.0083,0.0802,34,1152,0.1593141345953863
DPT,-0.5651,0.0014748840746658927,0.0394,0.1066,34,1152,0.1593141345953863
RNF113A,-0.5978,0.001530109263710544,-1.2122,-1.0233,34,1152,0.16405635842309463
FAM53B,0.4252,0.0015408418822831806,0.0268,-0.0308,34,1152,0.16405635842309463
KRT19,-0.6206,0.0015462341516648815,-0.1657,-0.0818,34,1152,0.16405635842309463
SNURF,-0.5469,0.001562515403550211,-0.0715,-0.0149,34,1152,0.16413096213042203
TMEM192,0.5447,0.0015652442431711654,0.1287,0.0688,34,1152,0.16413096213042203
DCAF8,0.484,0.0015817096437012086,-0.0112,-0.089,34,1152,0.16479957216097876
XPO1,0.501,0.0015900020067954562,-1.9172,-2.1176,34,1152,0.16479957216097876
APOC2,-0.5919,0.00160112075174604,-0.1392,-0.0676,34,1152,0.16499825402044965
FBXO32,0.5106,0.0016264000996996152,0.2113,0.1509,34,1152,0.16549001239975303
WDR25,-0.6887,0.0016292314751425393,-0.8438,-0.6898,34,1152,0.16549001239975303
BTN2A1,0.5274,0.001654918744673557,0.0869,0.0278,34,1152,0.16549001239975303
KCNC4,0.4636,0.001657795771710819,-0.13,-0.2101,34,1152,0.16549001239975303
CCDC198,-0.5896,0.0016751547942319984,-0.0914,-0.0187,34,1152,0.16549001239975303
VILL,-0.6799,0.0016868202108132693,-0.0949,-0.0114,34,1152,0.16549001239975303
KIF2A,0.4761,0.0016926808995972478,0.1004,-0.003,34,1152,0.16549001239975303
BCL2,0.3946,0.0016985603134730665,0.0667,-0.0166,34,1152,0.16549001239975303
LRRC37A3,0.5776,0.0017002908236123328,-0.2483,-0.3998,29,1017,0.16549001239975303
GYS1,-0.5743,0.001707414661421801,-0.0439,0.032,34,1152,0.16549001239975303
RBM22,0.5278,0.001707414661421801,-1.6647,-1.8648,34,1152,0.16549001239975303
PCDHA6,0.5813,0.001722852486273348,0.037,-0.045,34,1131,0.16608853726541614
DLG5,-0.6026,0.0017342330422853963,-0.3388,-0.2119,34,1152,0.16629161861614675
PROS1,-0.5447,0.0017614382846158167,-0.1952,-0.1298,34,1152,0.1680018610715224
BOD1L1,-0.5574,0.0017797925045053538,-0.2753,-0.1833,34,1152,0.16825587620520344
DHX30,-0.5211,0.0017828685783831716,-0.3098,-0.1939,34,1152,0.16825587620520344
UTP3,-0.4641,0.0018201645947556891,-0.8648,-0.748,34,1152,0.16858817576479926
APEH,-0.5818,0.0018201645947556891,-0.2087,-0.1348,34,1152,0.16858817576479926
METTL25B,-0.5276,0.0018264498553985458,-0.1348,-0.0656,34,1152,0.16858817576479926
ENO3,-0.5194,0.0018390802485997973,-0.123,-0.0606,34,1152,0.16858817576479926
ISG20L2,-0.5429,0.0018454254947351569,-1.0453,-0.9134,34,1152,0.16858817576479926
MARS1,-0.4496,0.0018454254947351569,-1.9814,-1.789,34,1152,0.16858817576479926
STARD13,-0.4594,0.0018581763710581952,-0.0412,0.0397,34,1152,0.16858817576479926
ACR,-0.7461,0.001864582115656305,-0.2936,-0.1867,34,1152,0.16858817576479926
BDH2,-0.4823,0.001871008141051534,-0.2271,-0.1451,34,1152,0.16858817576479926
ELOVL1,0.4863,0.0019001777766581116,-0.1022,-0.1995,34,1152,0.170360438566283
FOSL2,-0.4881,0.0019099934230229873,-0.2748,-0.1776,34,1152,0.1703885177523641
PSG8,0.4645,0.0019297645482873858,-0.0427,-0.1193,34,1152,0.171300040174956
H1-10,-0.5326,0.0019497234384901537,-0.0442,0.0492,34,1152,0.17221916736732487
HDLBP,0.495,0.0019631344668055275,0.065,-0.0254,34,1152,0.17255374570730347
AAR2,0.5927,0.0019766301310325213,0.0479,-0.0345,34,1152,0.17289246282704457
OTC,0.5976,0.0019902109092168048,0.0798,0.0318,34,1152,0.1732353000639152
PRMT2,-0.5205,0.0020314687426672253,-0.1302,-0.0612,34,1152,0.17542570384080536
LYRM7,-0.696,0.002034942077903492,-0.1702,-0.0644,34,1152,0.17542570384080536
PDCD6IP,0.4609,0.0020453948034604786,-0.3103,-0.4618,34,1152,0.17548313024330067
PCDHA12,0.5851,0.002087700190354489,-0.0217,-0.0991,34,1152,0.17825977196783974
CAPS,-0.5109,0.0020984012011126016,-0.2653,-0.1865,34,1152,0.1783243219770145
CDS2,0.5236,0.002109152497257567,-0.1712,-0.336,34,1152,0.17839251617134638
C2orf76,0.5029,0.0021308067912855387,0.0257,-0.0581,34,1152,0.17937791819033333
RPL36AL,-0.721,0.0021490075572176705,-1.0021,-0.8053,34,1152,0.18006474069378528
KLHL5,0.566,0.0022082121045366348,0.182,0.119,34,1152,0.1828669990366055
DHRS4,0.48,0.002218907539138151,-0.1044,-0.1831,34,1131,0.1828669990366055
TSC22D4,0.5742,0.002219477996396993,-0.0019,-0.0678,34,1152,0.1828669990366055
VSTM2L,0.4765,0.002223244982989236,-0.0331,-0.0856,34,1152,0.1828669990366055
YBX3,0.466,0.002238371592626361,-0.1683,-0.2277,34,1152,0.18327050697435288
RETNLB,-0.6965,0.002276601619490291,-0.1471,-0.0559,34,1152,0.18337562767705987
CHAMP1,-0.5895,0.0022804573374492466,-0.1984,-0.0905,34,1152,0.18337562767705987
MVB12B,0.4832,0.0022804573374492466,0.0161,-0.0407,34,1152,0.18337562767705987
ATP5F1D,-0.5783,0.0022843190366338413,-0.9813,-0.7942,34,1152,0.18337562767705987
CCDC3,0.4168,0.0022959401043918287,0.1791,0.1256,34,1152,0.18337562767705987
UBE2L3,0.4551,0.0023115191020070852,-1.2259,-1.4172,34,1152,0.18337562767705987
QARS1,-0.7163,0.0023115191020070852,-1.8553,-1.6093,34,1152,0.18337562767705987
CNTRL,-0.506,0.002335069198374605,-0.1333,-0.0694,34,1152,0.18337562767705987
NKAP,-0.6208,0.0023469264567939287,-1.3828,-1.1671,34,1152,0.18337562767705987
UNC13C,-0.4422,0.0023469264567939287,-0.0879,-0.0366,34,1152,0.18337562767705987
KDM3B,-0.4331,0.0023628219007036924,-0.0314,0.0336,34,1152,0.18337562767705987
CLDN9,-0.6221,0.0023668111334212245,-0.0899,-0.0036,34,1152,0.18337562767705987
IGDCC3,0.3629,0.0023748081043166616,-0.1044,-0.1427,34,1152,0.18337562767705987
ST6GALNAC2,0.5244,0.002382829805853268,-0.0018,-0.0637,34,1152,0.18337562767705987
HNRNPA1,-0.4443,0.002427394278983657,-0.4416,-0.3126,34,1152,0.1855161034125155
GRN,-0.6111,0.002443787763894734,-0.2322,-0.1645,34,1152,0.1855161034125155
PAX8,-0.7711,0.002452022444472603,-0.4264,-0.1692,34,1152,0.1855161034125155
CCL26,-0.4895,0.002468568029556015,-0.1924,-0.1141,34,1152,0.1855161034125155
SERPINA6,0.5975,0.002468568029556015,0.0832,0.0153,34,1152,0.1855161034125155
LSM6,0.6933,0.002472720356677888,-0.7341,-0.9155,34,1152,0.1855161034125155
SNAPC5,0.5871,0.002501966052669978,-1.1868,-1.4163,34,1152,0.18692813871010575
SRRT,-0.6883,0.0025230492002163186,-1.0341,-0.8595,34,1152,0.18772114194638512
ACOT9,0.5296,0.0025442947380084104,0.1512,0.0904,34,1152,0.18851962374887937
DRGX,0.4566,0.002561408836699728,0.0274,-0.0328,34,1152,0.1890066742833861
PIGS,-0.6124,0.002578628149759248,-0.4078,-0.2979,34,1152,0.18935702775869387
TOMM20L,0.4824,0.0025872774413518485,-0.0489,-0.1102,34,1152,0.18935702775869387
RSPH6A,-0.571,0.002617759278308208,-0.1865,-0.1174,34,1152,0.19035466312757277
KLF10,0.6817,0.002622140527160252,-0.0026,-0.1222,34,1152,0.19035466312757277
ARMC12,-0.43,0.002657432573792107,-0.0662,-0.012,34,1152,0.19200739182265344
ECT2L,-0.6508,0.002666323158989499,-0.2446,-0.1616,34,1152,0.19200739182265344
DIPK1C,0.5599,0.0026886686807339223,0.2375,0.1868,34,1152,0.19284207245695983
LPCAT4,-0.5395,0.0027021580039943895,-0.1154,-0.0557,34,1152,0.1929137382222712
RERE,-0.447,0.0027111852117568647,-0.1281,-0.0658,34,1152,0.1929137382222712
DMTN,0.422,0.002729322344113612,0.1003,0.0544,34,1152,0.19298911439474592
CFAP45,-0.4756,0.0027429978651074987,-0.0848,-0.0246,34,1152,0.19298911439474592
UGT3A2,0.4853,0.0027844008748167423,0.0148,-0.0669,34,1152,0.19298911439474592
NUP42,0.4472,0.00279367871210737,0.018,-0.0738,34,1152,0.19298911439474592
TCEAL8,0.5811,0.00279367871210737,0.154,0.1,34,1152,0.19298911439474592
TMEM233,-0.5244,0.0028029847751287282,0.0197,0.0792,34,1152,0.19298911439474592
CBFB,0.4686,0.002826373920962172,-0.0294,-0.2513,34,1152,0.19298911439474592
JAKMIP2,0.5617,0.0028310730817777924,0.0945,0.0302,34,1152,0.19298911439474592
BRCA2,-0.6025,0.0028310730817777924,-0.6426,-0.4923,34,1152,0.19298911439474592
CCDC158,-0.5635,0.0028310730817777924,-0.1261,-0.0642,34,1152,0.19298911439474592
AEN,-0.4966,0.002854676072085405,-0.0615,-0.0064,34,1152,0.19298911439474592
STK17B,0.6418,0.0028594181748196616,0.1085,0.0247,34,1152,0.19298911439474592
CNTN4,-0.4206,0.0028594181748196616,0.0082,0.0774,34,1152,0.19298911439474592
NFYA,-0.6854,0.0028689239622167076,-0.4314,-0.2925,34,1152,0.19298911439474592
BEX1,-0.5499,0.0028736876662426615,-0.0361,0.0264,34,1152,0.19298911439474592
GUCY2F,-0.6563,0.0028928147776111643,0.0733,0.1433,34,1152,0.19344708675847733
TTC9B,-0.5987,0.0029072362936322957,-0.035,0.0313,34,1152,0.19344708675847733
SYT9,0.5366,0.002916887061401829,0.0865,0.0428,34,1152,0.19344708675847733
PSMA4,0.4778,0.0029460150611222077,-1.3488,-1.5135,34,1152,0.19344708675847733
OCM2,-0.418,0.0029553966644332353,-0.0825,-0.0278,34,1131,0.19344708675847733
OR4B1,0.6093,0.0029647761772782807,-0.0766,-0.1648,29,1038,0.19344708675847733
CACNB3,0.5811,0.0029704908861176026,-0.3591,-0.4793,34,1152,0.19344708675847733
TIGD7,-0.5336,0.0029951521138663374,-0.0819,-0.0226,34,1152,0.19344708675847733
APMAP,-0.4735,0.0029951521138663374,-0.0345,0.0291,34,1152,0.19344708675847733
AMER3,-0.6618,0.003010038361082901,-0.1374,-0.0626,34,1152,0.19344708675847733
PSG2,0.5014,0.0030162614624827445,-0.0623,-0.1395,29,1017,0.19344708675847733
SLC66A2,-0.5151,0.0030199999884465384,0.0503,0.1175,34,1152,0.19344708675847733
DHFR,0.5393,0.003036335540134854,-0.575,-0.8451,29,1038,0.19344708675847733
ARHGAP33,-0.4591,0.0030551029629215906,-0.1003,-0.0441,34,1152,0.19344708675847733
CRB3,-0.5629,0.00306014793849989,-0.0685,0.0197,34,1152,0.19344708675847733
ZNF844,0.4742,0.003070260689431871,0.0166,-0.0626,34,1152,0.19344708675847733
DENND4A,0.4889,0.003080403907671343,-0.0747,-0.1561,34,1152,0.19344708675847733
PARP16,0.5265,0.003080403907671343,-0.0297,-0.0824,34,1152,0.19344708675847733
VIPR2,0.5926,0.003085486967426497,0.1155,-0.0111,34,1152,0.19344708675847733
CA5A,-0.5209,0.0031110171800137957,-0.4679,-0.3815,34,1152,0.19362882230248335
SLC22A16,-0.5308,0.0031212830821717315,0.021,0.0723,34,1152,0.19362882230248335
TBC1D30,-0.5857,0.0031264276064534,-0.1956,-0.1263,34,1152,0.19362882230248335
CHAF1A,0.5345,0.003131579859891817,-1.0366,-1.1809,34,1152,0.19362882230248335
OXSR1,0.4036,0.0031678629153538834,0.0402,-0.0284,34,1152,0.19386672332836344
ZFP57,-0.4273,0.0031678629153538834,-0.2153,-0.1587,34,1152,0.19386672332836344
EIF2AK4,-0.4489,0.0031678629153538834,-0.2577,-0.1242,34,1152,0.19386672332836344
TMEM229A,-0.4488,0.003188767720474535,-0.0493,0.0054,34,1152,0.19404367417251983
NT5C3B,-0.473,0.003220360735588976,-0.2707,-0.2053,34,1152,0.19404367417251983
ARHGEF7,-0.4118,0.003236263967492787,-0.5165,-0.371,34,1152,0.19404367417251983
KNTC1,-0.6582,0.003236263967492787,-0.5431,-0.3479,34,1152,0.19404367417251983
