gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
SEC14L4,0.3127,0.0021870757278896953,-0.0288,-0.0619,107,1079,0.1723023121523356
KPTN,0.323,0.0021979155031805605,0.0028,-0.0369,107,1079,0.17241945660056865
DNAJB6,0.299,0.0022131739256253877,-0.3315,-0.4006,107,1079,0.17288076830044077
LHX8,0.237,0.0022617631679134544,0.0496,0.0166,107,1079,0.17593081856744527
PKP2,0.3163,0.002284170639443345,-0.0671,-0.1128,107,1079,0.17628075128508613
USP16,-0.2486,0.0022909324278533602,-0.0754,-0.0419,107,1079,0.17628075128508613
EGFR,0.2029,0.0023022428326598043,-0.1721,-0.2484,107,1079,0.17628075128508613
MAP3K21,-0.2858,0.0023045110420236376,-0.0715,-0.0329,107,1079,0.17628075128508613
MIPEP,-0.2992,0.002338780704111585,-0.4674,-0.3743,107,1079,0.17816290198469864
TOR1AIP1,-0.311,0.002361885735256395,-0.0921,-0.0471,107,1079,0.17862364291275534
GJB5,-0.2831,0.0023642076957261894,-0.0399,-0.0028,107,1079,0.17862364291275534
ACP7,0.2528,0.0024110880111601306,-0.1047,-0.136,107,1079,0.18142207137035513
HELT,-0.2443,0.0024348458652546055,0.016,0.0468,107,1079,0.18150728090561918
NIBAN2,0.2674,0.002444408849941301,0.0224,-0.0233,107,1079,0.18150728090561918
DCBLD2,-0.2875,0.002444408849941301,0.0298,0.0615,107,1079,0.18150728090561918
FCRLB,-0.2584,0.0024516036314347262,-0.0054,0.0249,107,1079,0.18150728090561918
PLXNC1,0.2531,0.0025000662050743616,-0.0107,-0.0359,107,1079,0.18435488196218341
ZNF514,0.2602,0.002522158975091348,-0.06,-0.096,107,1079,0.18524303070043427
CCNL1,0.3137,0.002566881134749209,-0.5373,-0.6528,107,1079,0.18777957825040345
NBN,-0.3069,0.0025844680617055737,-0.11,-0.0558,107,1079,0.1879435981548378
RCL1,-0.2694,0.002589513096356322,-1.0049,-0.9355,107,1079,0.1879435981548378
AP3M2,0.2837,0.002622525914394618,-0.1232,-0.1591,107,1079,0.1890377663448092
PPP2R2B,0.1977,0.0026301986919864276,0.0425,0.0228,107,1079,0.1890377663448092
PRSS16,-0.2071,0.002643032269183022,-0.0132,0.0077,107,1079,0.1890377663448092
NUP54,-0.3151,0.0026456058430681193,-0.8655,-0.7622,107,1079,0.1890377663448092
ADGRF1,0.2817,0.0026923235877571723,0.063,0.0349,107,1079,0.19163314803205972
CDH22,-0.2278,0.0027212431900507,-0.0047,0.0224,107,1079,0.19294660849455636
UBA1,0.2625,0.0027557866715703025,-2.183,-2.2869,107,1079,0.19464723099769551
