gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
AKAP14,-0.1358,0.12106237023843652,0.0549,0.0683,80,1106,0.630046837111969
B3GAT1,-0.1783,0.12114348095900558,0.0144,0.0375,80,1106,0.630046837111969
N4BP2L1,0.0679,0.12114348095900558,0.0111,0.0026,80,1106,0.630046837111969
MCM5,-0.1714,0.12114348095900558,-1.6222,-1.5614,80,1106,0.630046837111969
MYBPHL,-0.1818,0.1212246341869354,-0.268,-0.2394,80,1106,0.630046837111969
NFKB1,-0.0907,0.1212246341869354,-0.0041,0.0116,80,1106,0.630046837111969
SNX1,-0.1553,0.1212246341869354,-0.1318,-0.1086,80,1106,0.630046837111969
CABP2,0.2219,0.12130582993522546,0.0117,-0.0195,80,1106,0.6301135460287071
CRHR2,-0.2001,0.12130582993522546,0.0003,0.021,80,1106,0.6301135460287071
SPRING1,0.24,0.12138706821687222,-0.1825,-0.2346,80,1106,0.6301804006133594
MOBP,-0.1954,0.12138706821687222,-0.0122,0.0067,80,1106,0.6301804006133594
GRPR,0.1949,0.12146834904486924,0.0627,0.0418,80,1106,0.6302046635059568
CHST11,-0.2294,0.12154967243220718,-0.0846,-0.0605,80,1106,0.6302046635059568
