gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
AATF,-0.587,0.00011465702383945299,-0.8691,-0.7256,37,1149,0.014579861073495496
MAPK14,0.5587,0.0001165001731803801,-0.0511,-0.1829,37,1149,0.014579861073495496
TRAF4,-0.7707,0.00011673252171135758,-0.2997,-0.1716,37,1149,0.014579861073495496
ADAD2,0.5285,0.00011790083406708197,0.0195,-0.0478,37,1149,0.014579861073495496
MTIF3,-0.7507,0.00011790083406708197,-0.2192,-0.1115,37,1149,0.014579861073495496
PTOV1,-0.5951,0.00011884341377361288,-0.2907,-0.2021,37,1149,0.014595762002566114
TFAM,-0.8333,0.00012099026226350785,-0.8848,-0.6562,37,1149,0.014618251347852895
SETD2,0.6028,0.00012123104521565543,-0.2858,-0.4286,37,1149,0.014618251347852895
FTMT,-0.648,0.00012147227989683126,-0.1381,-0.0589,37,1149,0.014618251347852895
EPHB2,0.6652,0.00012317363759840292,0.089,0.0163,37,1149,0.014655744280435845
GUCA1B,0.6099,0.00012341851465873696,0.0968,0.0341,37,1149,0.014655744280435845
EXOC1,-0.6661,0.0001256431544667825,-0.6699,-0.5221,37,1149,0.01480605101427403
CNPY2,0.6188,0.00012639306254220919,-0.1484,-0.2573,37,1149,0.01480605101427403
KLHDC7B,-1.1755,0.0001279583493872875,-0.0639,0.1337,14,341,0.01480605101427403
ODF2,-0.6857,0.00012841349535904338,0.008,0.0894,37,1149,0.01480605101427403
PSME1,-0.7574,0.00012994875378223795,-0.3036,-0.1598,37,1149,0.01480605101427403
GDPGP1,-0.6335,0.00013020630583533355,-0.0028,0.0784,37,1149,0.01480605101427403
CYP2A7,0.6527,0.00013046433886873554,0.1841,0.1076,37,1149,0.01480605101427403
CLDN22,0.5759,0.0001320474933561308,0.1115,0.0491,33,1034,0.014883673483192753
VPS53,0.5828,0.00013280841878929455,-0.1102,-0.2507,37,1149,0.014883673483192753
DNAJC3,0.5657,0.0001357273038126651,0.0809,-0.0146,37,1149,0.015116312327111168
OR5AU1,-0.6566,0.0001392988030515843,-0.2881,-0.1995,33,1034,0.015376312571415035
NDUFS4,-0.5987,0.00013980510312758466,-0.1923,-0.1009,37,1149,0.015376312571415035
SPHK2,-0.7531,0.00014063439081546291,-0.2453,-0.1535,37,1149,0.015376312571415035
SDHAF2,-0.6756,0.00014657044501988753,-0.5874,-0.4543,37,1149,0.015799457609553664
FAIM,0.567,0.00014714792375190795,-0.0914,-0.1774,37,1149,0.015799457609553664
PIDD1,-0.6383,0.00014714792375190795,-0.0825,0.0112,37,1149,0.015799457609553664
CSHL1,0.6197,0.0001494793308377399,0.0376,-0.0441,37,1149,0.015859710070169526
GPR148,-0.7625,0.0001500675927757705,-0.0749,0.0231,37,1149,0.015859710070169526
GH1,0.6506,0.0001503625404009157,0.1413,0.0525,37,1149,0.015859710070169526
KCMF1,0.5279,0.000151250661157837,-0.6204,-0.8102,37,1149,0.01586009125860336
SPATA31F1,0.5877,0.00015244250571679472,0.0015,-0.075,37,1149,0.01589213122097585
COX7B,-0.6793,0.0001585355032692511,-0.8227,-0.6429,37,1149,0.016371647444096405
PAX8,-0.7197,0.00015915724934128513,-0.4092,-0.1691,37,1149,0.016371647444096405
MT3,0.63,0.00015978128953861306,0.058,-0.0237,37,1149,0.016371647444096405
